Accession	BioSampleAccession	BioSampleName	SequenceLength	SequenceDefinition
AP018807.1	SAMD00129667	Escherichia coli E2863 plasmid pE2863-5 DNA, complete genome.	37917	Escherichia coli E2863 plasmid pE2863-5 DNA, complete genome.
AP018808.1	SAMD00129668	Escherichia coli E2865 DNA, complete genome.	5678205	Escherichia coli E2865 DNA, complete genome.
AP019189.1	SAMD00059754	Escherichia coli M217 DNA, complete genome.	4825589	Escherichia coli M217 DNA, complete genome.
AP019538.1	SAMD00164371	Escherichia coli THO-008 DNA, complete genome.	5071981	Escherichia coli THO-008 DNA, complete genome.
AP019675.1	SAMD00168435	Escherichia coli GSH8M-2 DNA, complete genome.	4693292	Escherichia coli GSH8M-2 DNA, complete genome.
AP019676.1	SAMD00168435	Escherichia coli GSH8M-2 plasmid pGSH8M-2-1 DNA, complete genome.	145389	Escherichia coli GSH8M-2 plasmid pGSH8M-2-1 DNA, complete genome.
AP019677.1	SAMD00168435	Escherichia coli GSH8M-2 plasmid pGSH8M-2-2 DNA, complete genome.	75556	Escherichia coli GSH8M-2 plasmid pGSH8M-2-2 DNA, complete genome.
AP019678.1	SAMD00168435	Escherichia coli GSH8M-2 plasmid pGSH8M-2-3 DNA, complete genome.	49365	Escherichia coli GSH8M-2 plasmid pGSH8M-2-3 DNA, complete genome.
AP019679.1	SAMD00168435	Escherichia coli GSH8M-2 plasmid pGSH8M-2-4 DNA, complete genome.	46158	Escherichia coli GSH8M-2 plasmid pGSH8M-2-4 DNA, complete genome.
AP019680.1	SAMD00168435	Escherichia coli GSH8M-2 plasmid pGSH8M-2-5 DNA, complete genome.	3274	Escherichia coli GSH8M-2 plasmid pGSH8M-2-5 DNA, complete genome.
AP019681.1	SAMD00168435	Escherichia coli GSH8M-2 plasmid pGSH8M-2-6 DNA, complete genome.	3067	Escherichia coli GSH8M-2 plasmid pGSH8M-2-6 DNA, complete genome.
AP019761.1	SAMD00172295	Escherichia coli O111:H- 110512 DNA, complete genome.	5302257	Escherichia coli O111:H- 110512 DNA, complete genome.
AP019762.1	SAMD00172295	Escherichia coli O111:H- 110512 plasmid pO111-110512_1 DNA, complete genome.	118827	Escherichia coli O111:H- 110512 plasmid pO111-110512_1 DNA, complete genome.
AP019763.1	SAMD00172295	Escherichia coli O111:H- 110512 plasmid pO111-110512_2 DNA, complete genome.	78470	Escherichia coli O111:H- 110512 plasmid pO111-110512_2 DNA, complete genome.
AP019764.1	SAMD00172295	Escherichia coli O111:H- 110512 plasmid pO111-110512_3 DNA, complete genome.	46350	Escherichia coli O111:H- 110512 plasmid pO111-110512_3 DNA, complete genome.
AP019765.1	SAMD00172295	Escherichia coli O111:H- 110512 plasmid pO111-110512_4 DNA, complete genome.	6795	Escherichia coli O111:H- 110512 plasmid pO111-110512_4 DNA, complete genome.
AP019766.1	SAMD00172295	Escherichia coli O111:H- 110512 plasmid pO111-110512_5 DNA, complete genome.	6674	Escherichia coli O111:H- 110512 plasmid pO111-110512_5 DNA, complete genome.
AP019767.1	SAMD00172295	Escherichia coli O111:H- 110512 plasmid pO111-110512_6 DNA, complete genome.	5423	Escherichia coli O111:H- 110512 plasmid pO111-110512_6 DNA, complete genome.
AP019768.1	SAMD00172295	Escherichia coli O111:H- 110512 plasmid pO111-110512_7 DNA, complete genome.	1546	Escherichia coli O111:H- 110512 plasmid pO111-110512_7 DNA, complete genome.
AP019856.1	SAMD00179457	Escherichia coli O8:H8 16F5M1D1 DNA, complete genome.	4800098	Escherichia coli O8:H8 16F5M1D1 DNA, complete genome.
AP019857.1	SAMD00179457	Escherichia coli O8:H8 16F5M1D1 plasmid p16F5M1D101 DNA, complete genome.	102846	Escherichia coli O8:H8 16F5M1D1 plasmid p16F5M1D101 DNA, complete genome.
AP019858.1	SAMD00179457	Escherichia coli O8:H8 16F5M1D1 plasmid p16F5M1D102 DNA, complete genome.	3717	Escherichia coli O8:H8 16F5M1D1 plasmid p16F5M1D102 DNA, complete genome.
AP019859.1	SAMD00179457	Escherichia coli O8:H8 16F5M1D1 plasmid p16F5M1D103 DNA, complete genome.	2732	Escherichia coli O8:H8 16F5M1D1 plasmid p16F5M1D103 DNA, complete genome.
AP021890.1	SAMD00190256	Escherichia coli 2017.15.01CC DNA, complete genome.	4869407	Escherichia coli 2017.15.01CC DNA, complete genome.
AP021891.1	SAMD00190245	Escherichia coli 2017.01.04CC DNA, complete genome.	4615626	Escherichia coli 2017.01.04CC DNA, complete genome.
AP021892.1	SAMD00190246	Escherichia coli 2018-01-1CC DNA, complete genome.	4711570	Escherichia coli 2018-01-1CC DNA, complete genome.
AP021893.1	SAMD00190251	Escherichia coli 2018-06-4CC DNA, complete genome.	4753810	Escherichia coli 2018-06-4CC DNA, complete genome.
AP021894.1	SAMD00190253	Escherichia coli 2018-10-1CC DNA, complete genome.	4701941	Escherichia coli 2018-10-1CC DNA, complete genome.
AP021895.1	SAMD00190255	Escherichia coli 2018-11-3CC DNA, complete genome.	4557772	Escherichia coli 2018-11-3CC DNA, complete genome.
AP021896.1	SAMD00190249	Escherichia coli 2018.02.02CC DNA, complete genome.	4574715	Escherichia coli 2018.02.02CC DNA, complete genome.
AP021933.1	SAMD00194357	Escherichia coli DNA, complete genome, strain: WP2-W18-ESBL-08.	4928821	Escherichia coli DNA, complete genome, strain: WP2-W18-ESBL-08.
AP021935.1	SAMD00194359	Escherichia coli DNA, complete genome, strain: WP2-W18-ESBL-10.	4993983	Escherichia coli DNA, complete genome, strain: WP2-W18-ESBL-10.
AP021963.1	SAMD00194405	Escherichia coli DNA, complete genome, strain: WP3-W18-CRE-03.	5054263	Escherichia coli DNA, complete genome, strain: WP3-W18-CRE-03.
AP022003.1	SAMD00194414	Escherichia coli DNA, complete genome, strain: WP3-W18-ESBL-08.	5235350	Escherichia coli DNA, complete genome, strain: WP3-W18-ESBL-08.
AP022049.1	SAMD00194455	Escherichia coli DNA, complete genome, strain: WP4-S17-ESBL-08.	5067025	Escherichia coli DNA, complete genome, strain: WP4-S17-ESBL-08.
AP022105.1	SAMD00194506	Escherichia coli DNA, complete genome, strain: WP5-S17-ESBL-10.	4885790	Escherichia coli DNA, complete genome, strain: WP5-S17-ESBL-10.
AP022159.1	SAMD00194533	Escherichia coli DNA, complete genome, strain: WP5-S18-ESBL-07.	5092774	Escherichia coli DNA, complete genome, strain: WP5-S18-ESBL-07.
AP022164.1	SAMD00194534	Escherichia coli plasmid pWP5-S18-ESBL-08_3 DNA, complete genome, strain: WP5-S18-ESBL-08.	47454	Escherichia coli plasmid pWP5-S18-ESBL-08_3 DNA, complete genome, strain: WP5-S18-ESBL-08.
AP022171.1	SAMD00194535	Escherichia coli DNA, complete genome, strain: WP5-S18-ESBL-09.	5066983	Escherichia coli DNA, complete genome, strain: WP5-S18-ESBL-09.
AP022173.1	SAMD00194553	Escherichia coli DNA, complete genome, strain: WP7-S17-ESBL-01.	5171886	Escherichia coli DNA, complete genome, strain: WP7-S17-ESBL-01.
AP022211.1	SAMD00194579	Escherichia coli plasmid pWP7-S18-ESBL-09_4 DNA, complete genome, strain: WP7-S18-ESBL-09.	4073	Escherichia coli plasmid pWP7-S18-ESBL-09_4 DNA, complete genome, strain: WP7-S18-ESBL-09.
AP022221.1	SAMD00194600	Escherichia coli DNA, complete genome, strain: WP8-S17-ESBL-08.	5011599	Escherichia coli DNA, complete genome, strain: WP8-S17-ESBL-08.
AP022222.1	SAMD00194604	Escherichia coli DNA, complete genome, strain: WP8-S17-ESBL-12.	4978079	Escherichia coli DNA, complete genome, strain: WP8-S17-ESBL-12.
AP022261.1	SAMD00194629	Escherichia coli DNA, complete genome, strain: WP8-S18-ESBL-07.	4907327	Escherichia coli DNA, complete genome, strain: WP8-S18-ESBL-07.
AP022287.1	SAMD00194670	Escherichia coli DNA, complete genome, strain: WP9-S17-ESBL-11.	5232187	Escherichia coli DNA, complete genome, strain: WP9-S17-ESBL-11.
AP022295.1	SAMD00194704	Escherichia coli DNA, complete genome, strain: BEC1-S17-ESBL-07.	4665448	Escherichia coli DNA, complete genome, strain: BEC1-S17-ESBL-07.
AP022298.1	SAMD00194706	Escherichia coli DNA, complete genome, strain: BEC1-S17-ESBL-09.	5121071	Escherichia coli DNA, complete genome, strain: BEC1-S17-ESBL-09.
AP022351.1	SAMD00108729	Escherichia coli E138 DNA, complete genome.	4812157	Escherichia coli E138 DNA, complete genome.
AP022362.1	SAMD00186874	Escherichia coli E302 DNA, complete genome.	5237933	Escherichia coli E302 DNA, complete genome.
AP022478.1	SAMD00195931	Escherichia coli STN0717-11 DNA, complete genome.	5071982	Escherichia coli STN0717-11 DNA, complete genome.
AP022533.1	SAMD00196004	Escherichia coli THO-006 DNA, complete genome.	5052545	Escherichia coli THO-006 DNA, complete genome.
AP022536.1	SAMD00196006	Escherichia coli THO-008 DNA, complete genome.	5071981	Escherichia coli THO-008 DNA, complete genome.
AP022650.1	SAMD00198301	Escherichia coli 09-02E DNA, complete genome.	5075911	Escherichia coli 09-02E DNA, complete genome.
AP022652.1	SAMD00198301	Escherichia coli 09-02E plasmid p2-09-02E DNA, complete genome.	45497	Escherichia coli 09-02E plasmid p2-09-02E DNA, complete genome.
AP022811.1	SAMD00197816	Escherichia coli JE86-ST02 DNA, complete genome.	5283470	Escherichia coli JE86-ST02 DNA, complete genome.
AP022814.1	SAMD00197816	Escherichia coli JE86-ST02 plasmid JE86-ST02_p3 DNA, complete sequence.	48397	Escherichia coli JE86-ST02 plasmid JE86-ST02_p3 DNA, complete sequence.
AP022815.1	SAMD00197820	Escherichia coli JE86-ST05 DNA, complete genome.	5327513	Escherichia coli JE86-ST05 DNA, complete genome.
AP022818.1	SAMD00197820	Escherichia coli JE86-ST05 plasmid JE86-ST05_p3 DNA, complete sequence.	48666	Escherichia coli JE86-ST05 plasmid JE86-ST05_p3 DNA, complete sequence.
AP023190.1	SAMD00172786	Escherichia coli TUM18530 DNA, complete genome.	4894739	Escherichia coli TUM18530 DNA, complete genome.
AP023197.1	SAMD00172787	Escherichia coli TUM18780 DNA, complete genome.	4894769	Escherichia coli TUM18780 DNA, complete genome.
AP023205.1	SAMD00172788	Escherichia coli TUM18781 DNA, complete genome.	4118807	Escherichia coli TUM18781 DNA, complete genome.
AP023208.1	SAMD00172788	Escherichia coli TUM18781 plasmid pMTY18781-3 DNA, complete sequence.	70209	Escherichia coli TUM18781 plasmid pMTY18781-3 DNA, complete sequence.
AP023219.2	SAMD00099774	Escherichia coli M505 DNA, complete genome.	4844289	Escherichia coli M505 DNA, complete genome.
AP023224.1	SAMD00157542	Escherichia coli YJ1 DNA, complete genome.	4847574	Escherichia coli YJ1 DNA, complete genome.
AP023226.1	SAMD00157544	Escherichia coli YJ3 DNA, complete genome.	4823608	Escherichia coli YJ3 DNA, complete genome.
AP023230.2	SAMD00157545	Escherichia coli YJ4 DNA, complete genome.	4824195	Escherichia coli YJ4 DNA, complete genome.
AP023235.1	SAMD00157547	Escherichia coli YJ6 DNA, complete genome.	4620933	Escherichia coli YJ6 DNA, complete genome.
AP023237.1	SAMD00157562	Escherichia coli F070 DNA, complete genome.	4873850	Escherichia coli F070 DNA, complete genome.
AP024112.1	SAMD00077025	Escherichia coli ECSC054 DNA, complete genome.	5305870	Escherichia coli ECSC054 DNA, complete genome.
AP024518.1	SAMD00283124	Escherichia coli E148 DNA, complete genome.	4971834	Escherichia coli E148 DNA, complete genome.
AP024521.1	SAMD00283125	Escherichia coli E189 DNA, complete genome.	4982641	Escherichia coli E189 DNA, complete genome.
AP025214.2	SAMD00407182	Escherichia coli 2017.09.02CC DNA, complete genome.	4702923	Escherichia coli 2017.09.02CC DNA, complete genome.
AP025657.1	SAMD00441897	Escherichia coli TUM13867 DNA, complete genome.	4907358	Escherichia coli TUM13867 DNA, complete genome.
AP025662.1	SAMD00441898	Escherichia coli TUM20902 DNA, complete genome.	4906821	Escherichia coli TUM20902 DNA, complete genome.
AP025675.1	SAMD00411241	Escherichia coli Rb-3 DNA, complete genome.	5043924	Escherichia coli Rb-3 DNA, complete genome.
AP027212.1	SAMD00566111	Escherichia coli JNE131328 DNA, complete genome.	5018637	Escherichia coli JNE131328 DNA, complete genome.
AP027217.1	SAMD00566110	Escherichia coli JNE170426 DNA, complete genome.	5029945	Escherichia coli JNE170426 DNA, complete genome.
AP027246.1	SAMD00566463	Escherichia coli JNE120393 DNA, complete genome.	5072830	Escherichia coli JNE120393 DNA, complete genome.
AP027254.1	SAMD00566464	Escherichia coli JNE120442 DNA, complete genome.	4967431	Escherichia coli JNE120442 DNA, complete genome.
AP027256.1	SAMD00566465	Escherichia coli JNE141411 DNA, complete genome.	5061037	Escherichia coli JNE141411 DNA, complete genome.
AP027258.1	SAMD00566466	Escherichia coli JNE151685 DNA, complete genome.	4968007	Escherichia coli JNE151685 DNA, complete genome.
AP027432.1	SAMD00585621	Escherichia coli EC581 DNA, complete genome.	5046629	Escherichia coli EC581 DNA, complete genome.
AP027436.1	SAMD00585622	Escherichia coli EC571 DNA, complete genome.	5046117	Escherichia coli EC571 DNA, complete genome.
AP027440.1	SAMD00585623	Escherichia coli EC556 DNA, complete genome.	5047835	Escherichia coli EC556 DNA, complete genome.
AP027570.1	SAMD00562497	Escherichia coli LR-60 DNA, complete genome.	4961976	Escherichia coli LR-60 DNA, complete genome.
AP027576.1	SAMD00562545	Escherichia coli LR-62-2 DNA, complete genome.	4921701	Escherichia coli LR-62-2 DNA, complete genome.
AP027623.1	SAMD00562571	Escherichia coli PSJ-12 plasmid pPSJ-12_1 DNA, complete sequence.	84338	Escherichia coli PSJ-12 plasmid pPSJ-12_1 DNA, complete sequence.
AP027637.1	SAMD00562573	Escherichia coli PSJ-23 DNA, complete genome.	4665047	Escherichia coli PSJ-23 DNA, complete genome.
AP027648.1	SAMD00562561	Escherichia coli PSJ-36 DNA, complete genome.	4777032	Escherichia coli PSJ-36 DNA, complete genome.
AP027704.1	SAMD00562527	Escherichia coli PSS-13 DNA, complete genome.	4649078	Escherichia coli PSS-13 DNA, complete genome.
AP027759.1	SAMD00562622	Escherichia coli 2017-02-1CC DNA, complete genome.	4650327	Escherichia coli 2017-02-1CC DNA, complete genome.
AP027829.1	SAMD00562605	Escherichia coli 2017.17.03CC DNA, complete genome.	4915580	Escherichia coli 2017.17.03CC DNA, complete genome.
AP027957.1	SAMD00587233	Escherichia coli VE-T10 DNA, complete genome.	4887921	Escherichia coli VE-T10 DNA, complete genome.
AP027960.1	SAMD00587235	Escherichia coli VE-T2 DNA, complete genome.	4889585	Escherichia coli VE-T2 DNA, complete genome.
AP028094.1	SAMD00608481	Escherichia coli JNE132847 DNA, complete genome.	5188281	Escherichia coli JNE132847 DNA, complete genome.
AP028869.1	SAMD00502403	Escherichia coli JBEHAAB-19-0176 DNA, complete genome.	5224427	Escherichia coli JBEHAAB-19-0176 DNA, complete genome.
AP029000.1	SAMD00651223	Escherichia coli GU2018_CL13 DNA, complete genome.	5069646	Escherichia coli GU2018_CL13 DNA, complete genome.
CP000243.1	SAMN00000110	Escherichia coli UTI89, complete genome.	5065741	Escherichia coli UTI89, complete genome.
CP000244.1	SAMN00000110	Escherichia coli UTI89 plasmid pUTI89, complete sequence.	114230	Escherichia coli UTI89 plasmid pUTI89, complete sequence.
CP000247.1	SAMN02604181	Escherichia coli 536, complete genome.	4938920	Escherichia coli 536, complete genome.
CP000797.1	SAMN02604038	Escherichia coli E24377A plasmid pETEC_73, complete sequence.	70609	Escherichia coli E24377A plasmid pETEC_73, complete sequence.
CP000800.1	SAMN02604038	Escherichia coli E24377A, complete genome.	4979619	Escherichia coli E24377A, complete genome.
CP000802.1	SAMN02604037	Escherichia coli HS, complete genome.	4643538	Escherichia coli HS, complete genome.
CP001368.1	SAMN02604255	Escherichia coli O157:H7 str. TW14359, complete genome.	5528136	Escherichia coli O157:H7 str. TW14359, complete genome.
CP001369.1	SAMN02604255	Escherichia coli O157:H7 str. TW14359 plasmid pO157, complete sequence.	94601	Escherichia coli O157:H7 str. TW14359 plasmid pO157, complete sequence.
CP001396.1	SAMN02603900	Escherichia coli BW2952, complete genome.	4578159	Escherichia coli BW2952, complete genome.
CP001509.3	SAMN02603478	Escherichia coli BL21(DE3), complete genome.	4558953	Escherichia coli BL21(DE3), complete genome.
CP001637.1	SAMN02598470	Escherichia coli DH1, complete genome.	4630707	Escherichia coli DH1, complete genome.
CP001665.1	SAMN00002656	Escherichia coli 'BL21-Gold(DE3)pLysS AG', complete genome.	4570938	Escherichia coli 'BL21-Gold(DE3)pLysS AG', complete genome.
CP001671.1	SAMN02603258	Escherichia coli ABU 83972, complete genome.	5131397	Escherichia coli ABU 83972, complete genome.
CP001833.1	SAMN02603258	Escherichia coli ABU 83972 plasmid pABU, complete sequence.	1564	Escherichia coli ABU 83972 plasmid pABU, complete sequence.
CP001846.1	SAMN02603636	Escherichia coli O55:H7 str. CB9615, complete genome.	5386352	Escherichia coli O55:H7 str. CB9615, complete genome.
CP001847.1	SAMN02603636	Escherichia coli O55:H7 str. CB9615 plasmid pO55, complete sequence.	66001	Escherichia coli O55:H7 str. CB9615 plasmid pO55, complete sequence.
CP001855.1	SAMN02603727	Escherichia coli O83:H1 str. NRG 857C, complete genome.	4747819	Escherichia coli O83:H1 str. NRG 857C, complete genome.
CP001856.1	SAMN02603727	Escherichia coli O83:H1 str. NRG 857C plasmid pO83_CORR genomic sequence.	147060	Escherichia coli O83:H1 str. NRG 857C plasmid pO83_CORR genomic sequence.
CP001925.1	SAMN02603645	Escherichia coli Xuzhou21, complete genome.	5386223	Escherichia coli Xuzhou21, complete genome.
CP001926.1	SAMN02603645	Escherichia coli Xuzhou21 plasmid pO157, complete sequence.	92728	Escherichia coli Xuzhou21 plasmid pO157, complete sequence.
CP001927.1	SAMN02603645	Escherichia coli Xuzhou21 plasmid pO157_Sal, complete sequence.	37785	Escherichia coli Xuzhou21 plasmid pO157_Sal, complete sequence.
CP001969.1	SAMN02603334	Escherichia coli IHE3034, complete genome.	5108383	Escherichia coli IHE3034, complete genome.
CP002167.1	SAMN00017915	Escherichia coli UM146, complete genome.	4993013	Escherichia coli UM146, complete genome.
CP002168.1	SAMN00017915	Escherichia coli UM146 plasmid pUM146, complete sequence.	114550	Escherichia coli UM146 plasmid pUM146, complete sequence.
CP002185.1	SAMN02602978	Escherichia coli W, complete genome.	4900968	Escherichia coli W, complete genome.
CP002186.1	SAMN02602978	Escherichia coli W plasmid pRK1, complete sequence.	102536	Escherichia coli W plasmid pRK1, complete sequence.
CP002187.1	SAMN02602978	Escherichia coli W plasmid pRK2, complete sequence.	5360	Escherichia coli W plasmid pRK2, complete sequence.
CP002211.1	SAMN02603902	Escherichia coli str. 'clone D i2', complete genome.	5038386	Escherichia coli str. 'clone D i2', complete genome.
CP002212.1	SAMN02603903	Escherichia coli str. 'clone D i14', complete genome.	5038386	Escherichia coli str. 'clone D i14', complete genome.
CP002729.1	SAMN02604221	Escherichia coli UMNK88, complete genome.	5186416	Escherichia coli UMNK88, complete genome.
CP002730.1	SAMN02604221	Escherichia coli UMNK88 plasmid pUMNK88_K88, complete sequence.	81883	Escherichia coli UMNK88 plasmid pUMNK88_K88, complete sequence.
CP002731.1	SAMN02604221	Escherichia coli UMNK88 plasmid pUMNK88_91, complete sequence.	90868	Escherichia coli UMNK88 plasmid pUMNK88_91, complete sequence.
CP002732.1	SAMN02604221	Escherichia coli UMNK88 plasmid pUMNK88_Ent, complete sequence.	81475	Escherichia coli UMNK88 plasmid pUMNK88_Ent, complete sequence.
CP002733.1	SAMN02604221	Escherichia coli UMNK88 plasmid pUMNK88_Hly, complete sequence.	65549	Escherichia coli UMNK88 plasmid pUMNK88_Hly, complete sequence.
CP002967.1	SAMN02604169	Escherichia coli W, complete genome.	4897452	Escherichia coli W, complete genome.
CP002968.1	SAMN02604169	Escherichia coli W plasmid pRK1, complete sequence.	102535	Escherichia coli W plasmid pRK1, complete sequence.
CP002969.1	SAMN02604169	Escherichia coli W plasmid pRK2, complete sequence.	5360	Escherichia coli W plasmid pRK2, complete sequence.
CP002970.1	SAMN02604168	Escherichia coli KO11FL, complete genome.	5021812	Escherichia coli KO11FL, complete genome.
CP002971.1	SAMN02604168	Escherichia coli KO11FL plasmid pRK2, complete sequence.	5360	Escherichia coli KO11FL plasmid pRK2, complete sequence.
CP003034.1	SAMN02603406	Escherichia coli O7:K1 str. CE10, complete genome.	5313531	Escherichia coli O7:K1 str. CE10, complete genome.
CP003035.1	SAMN02603406	Escherichia coli O7:K1 str. CE10 plasmid pCE10A, complete sequence.	54289	Escherichia coli O7:K1 str. CE10 plasmid pCE10A, complete sequence.
CP003036.1	SAMN02603406	Escherichia coli O7:K1 str. CE10 plasmid pCE10B, complete sequence.	5163	Escherichia coli O7:K1 str. CE10 plasmid pCE10B, complete sequence.
CP003037.1	SAMN02603406	Escherichia coli O7:K1 str. CE10 plasmid pCE10C, complete sequence.	4197	Escherichia coli O7:K1 str. CE10 plasmid pCE10C, complete sequence.
CP003038.1	SAMN02603406	Escherichia coli O7:K1 str. CE10 plasmid pCE10D, complete sequence.	1549	Escherichia coli O7:K1 str. CE10 plasmid pCE10D, complete sequence.
CP003109.1	SAMN02604278	Escherichia coli O55:H7 str. RM12579, complete genome.	5263980	Escherichia coli O55:H7 str. RM12579, complete genome.
CP003110.1	SAMN02604278	Escherichia coli O55:H7 str. RM12579 plasmid p12579_1, complete sequence.	94015	Escherichia coli O55:H7 str. RM12579 plasmid p12579_1, complete sequence.
CP003111.1	SAMN02604278	Escherichia coli O55:H7 str. RM12579 plasmid p12579_2, complete sequence.	66078	Escherichia coli O55:H7 str. RM12579 plasmid p12579_2, complete sequence.
CP003112.1	SAMN02604278	Escherichia coli O55:H7 str. RM12579 plasmid p12579_3, complete sequence.	12068	Escherichia coli O55:H7 str. RM12579 plasmid p12579_3, complete sequence.
CP003113.1	SAMN02604278	Escherichia coli O55:H7 str. RM12579 plasmid p12579_4, complete sequence.	6211	Escherichia coli O55:H7 str. RM12579 plasmid p12579_4, complete sequence.
CP003114.1	SAMN02604278	Escherichia coli O55:H7 str. RM12579 plasmid p12579_5, complete sequence.	5954	Escherichia coli O55:H7 str. RM12579 plasmid p12579_5, complete sequence.
CP003289.1	SAMN01831188	Escherichia coli O104:H4 str. 2011C-3493, complete genome.	5273097	Escherichia coli O104:H4 str. 2011C-3493, complete genome.
CP003292.1	SAMN01831188	Escherichia coli O104:H4 str. 2011C-3493 plasmid pG-EA11, complete sequence.	1549	Escherichia coli O104:H4 str. 2011C-3493 plasmid pG-EA11, complete sequence.
CP003297.1	SAMN01831189	Escherichia coli O104:H4 str. 2009EL-2050, complete genome.	5253138	Escherichia coli O104:H4 str. 2009EL-2050, complete genome.
CP003298.1	SAMN01831189	Escherichia coli O104:H4 str. 2009EL-2050 plasmid p09EL50, complete sequence.	109274	Escherichia coli O104:H4 str. 2009EL-2050 plasmid p09EL50, complete sequence.
CP003299.1	SAMN01831189	Escherichia coli O104:H4 str. 2009EL-2050 plasmid pAA-09EL50, complete sequence.	74213	Escherichia coli O104:H4 str. 2009EL-2050 plasmid pAA-09EL50, complete sequence.
CP003300.1	SAMN01831189	Escherichia coli O104:H4 str. 2009EL-2050 plasmid pG-09EL50, complete sequence.	1549	Escherichia coli O104:H4 str. 2009EL-2050 plasmid pG-09EL50, complete sequence.
CP003301.1	SAMN01831190	Escherichia coli O104:H4 str. 2009EL-2071, complete genome.	5312586	Escherichia coli O104:H4 str. 2009EL-2071, complete genome.
CP003302.1	SAMN01831190	Escherichia coli O104:H4 str. 2009EL-2071 plasmid pAA-09EL71, complete sequence.	75573	Escherichia coli O104:H4 str. 2009EL-2071 plasmid pAA-09EL71, complete sequence.
CP003303.1	SAMN01831190	Escherichia coli O104:H4 str. 2009EL-2071 plasmid pG-09EL71, complete sequence.	1549	Escherichia coli O104:H4 str. 2009EL-2071 plasmid pG-09EL71, complete sequence.
CP004009.1	SAMN02603426	Escherichia coli APEC O78, complete genome.	4798435	Escherichia coli APEC O78, complete genome.
CP005930.1	SAMN03274236	Escherichia coli APEC IMT5155, complete genome.	4929051	Escherichia coli APEC IMT5155, complete genome.
CP005931.1	SAMN03274236	Escherichia coli APEC IMT5155 plasmid p1ColV5155, complete sequence.	194170	Escherichia coli APEC IMT5155 plasmid p1ColV5155, complete sequence.
CP005932.1	SAMN03274236	Escherichia coli APEC IMT5155 plasmid p25155, complete sequence.	2836	Escherichia coli APEC IMT5155 plasmid p25155, complete sequence.
