Biosample,Accession,Species,Prophage count
SAMD00194355,AP021929.1,Klebsiella pneumoniae,2
SAMD00194355,AP021930.1,Klebsiella pneumoniae,0
SAMD00194355,AP021931.1,Klebsiella pneumoniae,0
SAMD00194355,AP021932.1,Klebsiella pneumoniae,0
SAMD00194470,AP022077.1,Acinetobacter baumannii,2
SAMD00199041,AP022326.1,Escherichia coli,6
SAMD00199041,AP022327.1,Escherichia coli,0
SAMD00199041,AP022328.1,Escherichia coli,0
SAMD00199041,AP022329.1,Escherichia coli,0
SAMD00199041,AP022330.1,Escherichia coli,0
SAMD00199041,AP022331.1,Escherichia coli,0
SAMD00202474,AP022341.1,Enterococcus faecium,0
SAMD00202474,AP022342.1,Enterococcus faecium,0
SAMD00202474,AP022343.1,Enterococcus faecium,0
SAMD00202474,AP022344.1,Enterococcus faecium,0
SAMD00195982,AP022510.1,Enterobacter spp,4
SAMD00195982,AP022511.1,Enterobacter spp,0
SAMD00195982,AP022512.1,Enterobacter spp,0
SAMD00204789,AP022846.1,Haemophilus influenzae,0
SAMD00210359,AP022867.1,Haemophilus influenzae,4
SAMD00217347,AP023067.1,Neisseria spp,1
SAMD00217347,AP023068.1,Neisseria spp,0
SAMD00217348,AP023069.1,Neisseria spp,1
SAMD00217348,AP023070.1,Neisseria spp,0
SAMD00220608,AP023071.1,Neisseria spp,2
SAMD00220608,AP023072.1,Neisseria spp,0
SAMD00220610,AP023075.1,Neisseria spp,1
SAMD00220610,AP023076.1,Neisseria spp,0
SAMD00097500,AP023292.1,Salmonella enterica,4
SAMD00097500,AP023293.1,Salmonella enterica,0
SAMD00234655,AP023309.1,Salmonella enterica,4
SAMD00234655,AP023310.1,Salmonella enterica,0
SAMD00238717,AP023387.1,Streptococcus pyogenes,3
SAMD00257605,AP024155.1,Neisseria spp,1
SAMD00257605,AP024156.1,Neisseria spp,0
SAMD00269943,AP024313.1,Staphylococcus aureus,3
SAMD00269943,AP024314.1,Staphylococcus aureus,0
SAMD00269945,AP024318.1,Staphylococcus aureus,2
SAMD00269945,AP024319.1,Staphylococcus aureus,0
SAMD00233110,AP024414.1,Haemophilus influenzae,2
SAMD00276649,AP024511.1,Staphylococcus aureus,2
SAMD00276649,AP024512.1,Staphylococcus aureus,0
SAMD00283124,AP024518.1,Escherichia coli,5
SAMD00283124,AP024519.1,Escherichia coli,0
SAMD00283124,AP024520.1,Escherichia coli,0
SAMD00290839,AP024553.1,Vibrio cholerae,0
SAMD00290839,AP024554.1,Vibrio cholerae,0
SAMD00290840,AP024555.1,Vibrio cholerae,0
SAMD00163109,AP024621.1,Bacillus subtilis,2
SAMD00163116,AP024628.1,Bacillus subtilis,2
SAMD00291285,AP024730.1,Staphylococcus aureus,3
SAMD00291285,AP024731.1,Staphylococcus aureus,0
SAMD00324535,AP024831.1,Enterococcus faecium,0
SAMD00324535,AP024832.1,Enterococcus faecium,0
SAMD00324535,AP024833.1,Enterococcus faecium,0
SAMD00324535,AP024834.1,Enterococcus faecium,0
SAMD00324535,AP024835.1,Enterococcus faecium,0
SAMD00324535,AP024836.1,Enterococcus faecium,0
SAMD00324536,AP024837.1,Enterococcus faecium,0
SAMD00324536,AP024838.1,Enterococcus faecium,0
SAMD00324536,AP024839.1,Enterococcus faecium,0
SAMD00324536,AP024840.1,Enterococcus faecium,0
SAMD00324536,AP024841.1,Enterococcus faecium,0
SAMD00324536,AP024842.1,Enterococcus faecium,0
SAMD00324536,AP024843.1,Enterococcus faecium,0
SAMD00391659,AP024847.1,Serratia spp,7
SAMD00391659,AP024848.1,Serratia spp,0
SAMD00392800,AP024963.1,Helicobacter pylori,0
SAMD00392802,AP024965.1,Helicobacter pylori,0
SAMD00411243,AP025682.1,Escherichia coli,3
SAMD00490829,AP025764.1,Enterobacter spp,3
SAMD00490829,AP025765.1,Enterobacter spp,0
SAMD00490829,AP025766.1,Enterobacter spp,0
SAMD00490835,AP025777.1,Enterobacter spp,2
SAMD00490835,AP025778.1,Enterobacter spp,0
SAMD00490835,AP025779.1,Enterobacter spp,0
SAMD00490838,AP025784.1,Enterobacter spp,4
SAMD00490838,AP025785.1,Enterobacter spp,0
SAMD00490838,AP025786.1,Enterobacter spp,0
SAMD00490842,AP025792.1,Enterobacter spp,4
SAMD00490842,AP025793.1,Enterobacter spp,0
SAMD00490842,AP025794.1,Enterobacter spp,0
SAMD00490845,AP025799.1,Enterobacter spp,4
SAMD00490845,AP025800.1,Enterobacter spp,0
SAMD00490846,AP025801.1,Enterobacter spp,4
SAMD00490846,AP025802.1,Enterobacter spp,0
SAMD00490846,AP025803.1,Enterobacter spp,0
SAMD00490850,AP025807.1,Enterobacter spp,4
SAMD00490850,AP025808.1,Enterobacter spp,0
SAMD00490850,AP025809.1,Enterobacter spp,0
SAMD00490855,AP025815.1,Enterobacter spp,4
SAMD00490855,AP025816.1,Enterobacter spp,0
SAMD00490855,AP025817.1,Enterobacter spp,0
SAMD00490862,AP025830.1,Enterobacter spp,2
SAMD00490862,AP025831.1,Enterobacter spp,0
SAMD00490862,AP025832.1,Enterobacter spp,0
SAMD00490873,AP025855.1,Enterobacter spp,6
SAMD00490873,AP025856.1,Enterobacter spp,0
SAMD00490873,AP025858.1,Enterobacter spp,0
SAMD00490875,AP025863.1,Enterobacter spp,6
SAMD00490875,AP025864.1,Enterobacter spp,0
SAMD00490875,AP025865.1,Enterobacter spp,0
SAMD00490875,AP025866.1,Enterobacter spp,0
SAMD00490878,AP025871.1,Enterobacter spp,6
SAMD00490878,AP025872.1,Enterobacter spp,0
SAMD00490878,AP025873.1,Enterobacter spp,0
SAMD00490878,AP025874.1,Enterobacter spp,0
SAMD00490879,AP025875.1,Enterobacter spp,6
SAMD00490879,AP025876.1,Enterobacter spp,0
SAMD00490879,AP025877.1,Enterobacter spp,0
SAMD00490879,AP025878.1,Enterobacter spp,0
SAMD00490880,AP025879.1,Enterobacter spp,5
SAMD00490880,AP025880.1,Enterobacter spp,0
SAMD00490880,AP025881.1,Enterobacter spp,0
SAMD00490880,AP025882.1,Enterobacter spp,0
SAMD00490884,AP025895.1,Enterobacter spp,5
SAMD00490884,AP025896.1,Enterobacter spp,0
SAMD00490884,AP025897.1,Enterobacter spp,0
SAMD00490884,AP025898.1,Enterobacter spp,0
SAMD00490886,AP025903.1,Enterobacter spp,6
SAMD00490886,AP025904.1,Enterobacter spp,0
SAMD00490886,AP025905.1,Enterobacter spp,0
SAMD00490886,AP025906.1,Enterobacter spp,0
SAMD00490890,AP025919.1,Enterobacter spp,5
SAMD00490890,AP025920.1,Enterobacter spp,0
SAMD00490890,AP025921.1,Enterobacter spp,0
SAMD00490890,AP025922.1,Enterobacter spp,0
SAMD00453553,AP025936.1,Streptococcus pneumoniae,0
SAMD00453554,AP025937.1,Streptococcus pneumoniae,0
SAMD00453556,AP025938.1,Streptococcus pneumoniae,0
SAMD00453552,AP025940.1,Streptococcus pneumoniae,0
SAMD00495999,AP026106.1,Escherichia coli,8
SAMD00495999,AP026107.1,Escherichia coli,0
SAMD00496009,AP026114.1,Escherichia coli,9
SAMD00496009,AP026115.1,Escherichia coli,0
SAMD00496012,AP026116.1,Escherichia coli,10
SAMD00496012,AP026117.1,Escherichia coli,0
SAMD00466807,AP026601.1,Enterococcus faecium,5
SAMD00466807,AP026602.1,Enterococcus faecium,0
SAMD00466807,AP026603.1,Enterococcus faecium,0
SAMD00466815,AP026655.1,Enterococcus faecium,2
SAMD00466815,AP026656.1,Enterococcus faecium,0
SAMD00466815,AP026657.1,Enterococcus faecium,0
SAMD00466815,AP026658.1,Enterococcus faecium,0
SAMD00466815,AP026659.1,Enterococcus faecium,0
SAMD00466816,AP026660.1,Enterococcus faecium,2
SAMD00466816,AP026661.1,Enterococcus faecium,0
SAMD00466816,AP026662.1,Enterococcus faecium,0
SAMD00466816,AP026664.1,Enterococcus faecium,0
SAMD00466816,AP026665.1,Enterococcus faecium,0
SAMD00466817,AP026666.1,Enterococcus faecium,2
SAMD00466817,AP026667.1,Enterococcus faecium,0
SAMD00466817,AP026668.1,Enterococcus faecium,0
SAMD00466817,AP026669.1,Enterococcus faecium,0
SAMD00466817,AP026670.1,Enterococcus faecium,0
SAMD00520112,AP026721.1,Enterococcus faecalis,5
SAMD00520112,AP026723.1,Enterococcus faecalis,0
SAMD00520112,AP026725.1,Enterococcus faecalis,0
SAMD00533729,AP026772.1,Enterococcus faecium,1
SAMD00533729,AP026773.1,Enterococcus faecium,0
SAMD00533729,AP026774.1,Enterococcus faecium,0
SAMD00533729,AP026775.1,Enterococcus faecium,0
SAMD00533729,AP026776.1,Enterococcus faecium,0
SAMD00533729,AP026777.1,Enterococcus faecium,0
SAMD00533729,AP026778.1,Enterococcus faecium,0
SAMD00533729,AP026779.1,Enterococcus faecium,0
SAMD00396921,AP026827.1,Proteus spp,4
SAMD00396921,AP026828.1,Proteus spp,0
SAMD00396921,AP026829.1,Proteus spp,0
SAMD00536217,AP026913.1,Klebsiella pneumoniae,3
SAMD00547689,AP026915.1,Streptococcus pneumoniae,1
SAMD00547691,AP026917.1,Streptococcus pneumoniae,0
SAMD00547692,AP026918.1,Streptococcus pneumoniae,0
SAMD00547693,AP026919.1,Streptococcus pneumoniae,0
SAMD00547695,AP026921.1,Streptococcus pneumoniae,1
SAMD00547696,AP026922.1,Streptococcus pneumoniae,0
SAMD00547697,AP026923.1,Streptococcus pneumoniae,0
SAMD00547698,AP026924.1,Streptococcus pneumoniae,1
SAMD00547700,AP026926.1,Streptococcus pneumoniae,1
SAMD00547701,AP026927.1,Streptococcus pneumoniae,0
SAMD00547702,AP026928.1,Streptococcus pneumoniae,0
SAMD00547703,AP026929.1,Streptococcus pneumoniae,0
SAMD00547704,AP026930.1,Streptococcus pneumoniae,0
SAMD00547706,AP026932.1,Streptococcus pneumoniae,0
SAMD00515064,AP026940.1,Citrobacter spp,4
SAMD00515064,AP026941.1,Citrobacter spp,0
SAMD00515064,AP026942.1,Citrobacter spp,0
SAMD00515064,AP026943.1,Citrobacter spp,0
SAMD00515064,AP026944.1,Citrobacter spp,0
SAMD00260231,AP027134.1,Staphylococcus aureus,1
SAMD00260312,AP027135.1,Staphylococcus aureus,2
SAMD00521555,AP027136.1,Enterococcus faecalis,2
SAMD00521555,AP027137.1,Enterococcus faecalis,0
SAMD00521555,AP027138.1,Enterococcus faecalis,0
SAMD00562887,AP027185.1,Escherichia coli,12
SAMD00562887,AP027186.1,Escherichia coli,0
SAMD00562887,AP027187.1,Escherichia coli,0
SAMD00565567,AP027221.1,Enterococcus faecium,0
SAMD00565567,AP027222.1,Enterococcus faecium,0
SAMD00565567,AP027223.1,Enterococcus faecium,0
SAMD00565567,AP027224.1,Enterococcus faecium,0
SAMD00565567,AP027225.1,Enterococcus faecium,0
SAMD00565567,AP027226.1,Enterococcus faecium,0
SAMD00565591,AP027227.1,Enterococcus faecium,0
SAMD00565591,AP027228.1,Enterococcus faecium,0
SAMD00565591,AP027229.1,Enterococcus faecium,0
SAMD00565591,AP027230.1,Enterococcus faecium,0
SAMD00565591,AP027231.1,Enterococcus faecium,0
SAMD00565591,AP027232.1,Enterococcus faecium,0
SAMD00565616,AP027233.1,Enterococcus faecium,0
SAMD00565616,AP027234.1,Enterococcus faecium,0
SAMD00565616,AP027235.1,Enterococcus faecium,0
SAMD00565616,AP027236.1,Enterococcus faecium,0
SAMD00565616,AP027237.1,Enterococcus faecium,0
SAMD00565616,AP027238.1,Enterococcus faecium,0
SAMD00577372,AP027294.1,Enterococcus faecium,2
SAMD00577372,AP027295.1,Enterococcus faecium,0
SAMD00577372,AP027296.1,Enterococcus faecium,0
SAMD00585618,AP027418.1,Escherichia coli,0
SAMD00585618,AP027419.1,Escherichia coli,3
SAMD00585620,AP027424.1,Escherichia coli,5
SAMD00585620,AP027425.1,Escherichia coli,0
SAMD00585620,AP027426.1,Escherichia coli,0
SAMD00585620,AP027427.1,Escherichia coli,0
SAMD00562517,AP027479.1,Escherichia coli,4
SAMD00562517,AP027480.1,Escherichia coli,0
SAMD00562517,AP027481.1,Escherichia coli,0
SAMD00562517,AP027482.1,Escherichia coli,0
SAMD00562501,AP027487.1,Escherichia coli,6
SAMD00562501,AP027488.1,Escherichia coli,0
SAMD00562501,AP027489.1,Escherichia coli,0
SAMD00562501,AP027490.1,Escherichia coli,0
SAMD00562501,AP027492.1,Escherichia coli,0
SAMD00562501,AP027493.1,Escherichia coli,0
SAMD00562495,AP027500.1,Escherichia coli,6
SAMD00562495,AP027501.1,Escherichia coli,0
SAMD00562495,AP027502.1,Escherichia coli,0
SAMD00562495,AP027503.1,Escherichia coli,0
SAMD00562495,AP027504.1,Escherichia coli,0
SAMD00562495,AP027505.1,Escherichia coli,0
SAMD00562521,AP027666.1,Escherichia coli,1
SAMD00562521,AP027667.1,Escherichia coli,0
SAMD00562521,AP027668.1,Escherichia coli,0
SAMD00562521,AP027669.1,Escherichia coli,0
SAMD00562521,AP027670.1,Escherichia coli,0
SAMD00562521,AP027671.1,Escherichia coli,0
SAMD00562521,AP027672.1,Escherichia coli,0
SAMD00562615,AP027721.1,Escherichia coli,2
SAMD00562615,AP027722.1,Escherichia coli,0
SAMD00562619,AP027745.1,Escherichia coli,2
SAMD00562619,AP027746.1,Escherichia coli,0
SAMD00562619,AP027747.1,Escherichia coli,0
SAMD00587235,AP027960.1,Escherichia coli,0
SAMD00587235,AP027961.1,Escherichia coli,0
SAMD00587235,AP027962.1,Escherichia coli,0
SAMD00599739,AP028059.1,Bacillus subtilis,4
SAMD00622803,AP028314.1,Citrobacter spp,11
SAMD00622803,AP028315.1,Citrobacter spp,0
SAMD00622803,AP028316.1,Citrobacter spp,0
SAMD00622804,AP028317.1,Citrobacter spp,10
SAMD00622804,AP028318.1,Citrobacter spp,0
SAMD00622804,AP028319.1,Citrobacter spp,0
SAMD00620666,AP028335.1,Campylobacter spp,0
SAMD00620667,AP028336.1,Campylobacter spp,1
SAMD00620672,AP028340.1,Campylobacter spp,0
SAMD00620674,AP028342.1,Campylobacter spp,0
SAMD00620674,AP028343.1,Campylobacter spp,0
SAMD00620676,AP028346.1,Campylobacter spp,0
SAMD00620693,AP028361.1,Campylobacter spp,0
SAMD00620695,AP028363.1,Campylobacter spp,0
SAMD00620695,AP028364.1,Campylobacter spp,0
SAMD00620697,AP028365.1,Campylobacter spp,1
SAMD00620697,AP028366.1,Campylobacter spp,0
SAMD00620700,AP028369.1,Campylobacter spp,2
SAMD00620702,AP028370.1,Campylobacter spp,0
SAMD00620707,AP028371.1,Campylobacter spp,0
SAMD00620707,AP028372.1,Campylobacter spp,0
SAMD00620707,AP028373.1,Campylobacter spp,0
SAMD00620708,AP028374.1,Campylobacter spp,0
SAMD00620708,AP028375.1,Campylobacter spp,0
SAMD00620712,AP028376.1,Campylobacter spp,0
SAMD00620712,AP028377.1,Campylobacter spp,0
SAMD00620716,AP028380.1,Campylobacter spp,0
SAMD00620717,AP028381.1,Campylobacter spp,1
SAMD00620728,AP028387.1,Campylobacter spp,1
SAMD00620731,AP028390.1,Campylobacter spp,1
SAMD00620731,AP028391.1,Campylobacter spp,0
SAMD00620738,AP028396.1,Campylobacter spp,0
SAMD00620738,AP028397.1,Campylobacter spp,0
SAMD00620739,AP028398.1,Campylobacter spp,0
SAMD00620741,AP028401.1,Campylobacter spp,0
SAMD00620742,AP028402.1,Campylobacter spp,1
SAMD00620742,AP028403.1,Campylobacter spp,0
SAMD00620758,AP028408.1,Campylobacter spp,0
SAMD00620763,AP028412.1,Campylobacter spp,0
SAMD00623430,AP028415.1,Enterococcus faecium,0
SAMD00623430,AP028416.1,Enterococcus faecium,0
SAMD00623430,AP028417.1,Enterococcus faecium,0
SAMD00623430,AP028418.1,Enterococcus faecium,0
SAMD00623430,AP028419.1,Enterococcus faecium,0
SAMD00602882,AP028601.1,Streptococcus pneumoniae,1
SAMD00602883,AP028602.1,Streptococcus pneumoniae,0
SAMD00602884,AP028603.1,Streptococcus pneumoniae,1
SAMD00602885,AP028604.1,Streptococcus pneumoniae,1
SAMD00602886,AP028605.1,Streptococcus pneumoniae,0
SAMD00602887,AP028606.1,Streptococcus pneumoniae,0
SAMD00602888,AP028607.1,Streptococcus pneumoniae,1
SAMD00602889,AP028608.1,Streptococcus pneumoniae,0
SAMD00602890,AP028609.1,Streptococcus pneumoniae,0
SAMD00602891,AP028610.1,Streptococcus pneumoniae,0
SAMD00602892,AP028611.1,Streptococcus pneumoniae,0
SAMD00602892,AP028612.1,Streptococcus pneumoniae,0
SAMD00638583,AP028877.1,Streptococcus pneumoniae,0
SAMD00548390,AP028993.1,Staphylococcus aureus,2
SAMD00748008,AP031218.1,Enterococcus faecalis,2
SAMD00748008,AP031219.1,Enterococcus faecalis,0
SAMD00748008,AP031220.1,Enterococcus faecalis,0
SAMD00622273,AP031394.1,Streptococcus pneumoniae,1
SAMD00622274,AP031395.1,Streptococcus pneumoniae,1
SAMD00778461,AP031580.1,Acinetobacter baumannii,2
SAMD00778472,AP031582.1,Acinetobacter baumannii,0
SAMD00824839,AP038761.1,Enterobacter spp,4
SAMD00824839,AP038762.1,Enterobacter spp,0
SAMD00824839,AP038763.1,Enterobacter spp,0
SAMD00901440,AP040337.1,Pseudomonas aeruginosa,6
SAMD00901443,AP040340.1,Pseudomonas aeruginosa,3
SAMD00901447,AP040344.1,Pseudomonas aeruginosa,3
SAMD00901453,AP040350.1,Pseudomonas aeruginosa,2
SAMD00901455,AP040352.1,Pseudomonas aeruginosa,3
SAMD00901458,AP040355.1,Pseudomonas aeruginosa,5
SAMD00061102,BA000034.2,Streptococcus pyogenes,3
SAMEA1705935,BX571856.1,Staphylococcus aureus,2
SAMN50489731,CM125672.1,Escherichia coli,7
SAMN48463381,CM128546.1,Escherichia coli,3
SAMN51205869,CM128589.1,Escherichia coli,5
SAMN51205862,CM128596.1,Escherichia coli,4
SAMN50019103,CM128674.1,Escherichia coli,6
SAMN50019102,CM128675.1,Escherichia coli,0
SAMN51795712,CM129876.1,Escherichia coli,3
SAMN51335559,CM132277.1,Escherichia coli,2
SAMN53403215,CM132537.1,Bacillus subtilis,1
SAMN02604007,CP000025.1,Campylobacter spp,1
SAMN02603157,CP000057.2,Haemophilus influenzae,2
SAMN02604011,CP000114.1,Streptococcus agalactiae,1
SAMN02604311,CP000241.1,Helicobacter pylori,0
SAMN02604311,CP000242.1,Helicobacter pylori,0
SAMN02603605,CP000381.1,Neisseria spp,0
SAMN02604051,CP000410.2,Streptococcus pneumoniae,0
SAMN02603591,CP000438.1,Pseudomonas aeruginosa,1
SAMN02604044,CP000538.1,Campylobacter spp,0
SAMN02604044,CP000549.1,Campylobacter spp,0
SAMN02604044,CP000550.1,Campylobacter spp,0
SAMN02603008,CP000814.1,Campylobacter spp,0
SAMN02603444,CP000919.1,Streptococcus pneumoniae,0
SAMN02603445,CP000920.1,Streptococcus pneumoniae,1
SAMN02603443,CP000921.1,Streptococcus pneumoniae,0
SAMN02603475,CP001050.1,Neisseria spp,1
SAMN02603475,CP001051.1,Neisseria spp,0
SAMN02604319,CP001072.2,Helicobacter pylori,0
SAMN02603889,CP001172.2,Acinetobacter baumannii,1
SAMN02604237,CP001173.1,Helicobacter pylori,0
SAMN02603051,CP001182.2,Acinetobacter baumannii,2
SAMN02603051,CP001183.2,Acinetobacter baumannii,0
SAMN02603569,CP001485.1,Vibrio cholerae,1
SAMN02603357,CP001680.1,Helicobacter pylori,0
SAMN02603174,CP001900.1,Campylobacter spp,0
SAMN02603494,CP001921.1,Acinetobacter baumannii,3
SAMN02603494,CP001922.1,Acinetobacter baumannii,0
SAMN02603494,CP001923.1,Acinetobacter baumannii,0
SAMN02603777,CP002005.1,Moraxella catarrhalis,0
SAMN02603204,CP002076.1,Helicobacter pylori,0
SAMN02299423,CP002096.1,Helicobacter pylori,0
SAMN02603619,CP002120.1,Staphylococcus aureus,2
SAMN02604004,CP002176.1,Streptococcus pneumoniae,1
SAMN02604260,CP002276.1,Haemophilus influenzae,0
SAMN02604259,CP002277.1,Haemophilus influenzae,2
SAMN02603023,CP002334.1,Helicobacter pylori,0
SAMN02603023,CP002335.1,Helicobacter pylori,0
SAMN02603025,CP002336.1,Helicobacter pylori,0
SAMN02603025,CP002337.1,Helicobacter pylori,0
SAMN02604199,CP002423.1,Neisseria spp,1
SAMN02604197,CP002424.1,Neisseria spp,0
SAMN02603509,CP002491.1,Enterococcus faecalis,1
SAMN02603509,CP002492.1,Enterococcus faecalis,0
SAMN02603509,CP002493.1,Enterococcus faecalis,0
SAMN02603509,CP002494.1,Enterococcus faecalis,0
SAMN02603509,CP002495.1,Enterococcus faecalis,0
SAMN02603849,CP002496.1,Pseudomonas aeruginosa,0
SAMN02603712,CP002571.1,Helicobacter pylori,0
SAMN02603713,CP002572.1,Helicobacter pylori,0
SAMN00189522,CP002605.1,Helicobacter pylori,0
SAMN02603002,CP002621.1,Enterococcus faecalis,0
SAMN02603351,CP002906.1,Bacillus subtilis,1
SAMN02603944,CP003116.1,Streptococcus pyogenes,0
SAMN02603945,CP003121.1,Streptococcus pyogenes,1
SAMN02603101,CP003278.1,Salmonella enterica,4
SAMN02603101,CP003279.1,Salmonella enterica,0
SAMN02603273,CP003329.1,Bacillus subtilis,2
SAMN02604218,CP003351.2,Enterococcus faecium,2
SAMN02604218,CP003352.2,Enterococcus faecium,0
SAMN02604218,CP003353.1,Enterococcus faecium,0
SAMN02604218,CP003354.2,Enterococcus faecium,0
SAMN02604071,CP003357.2,Streptococcus pneumoniae,1
SAMN02603193,CP003472.1,Helicobacter pylori,0
SAMN02603195,CP003473.1,Helicobacter pylori,0
SAMN02603194,CP003474.1,Helicobacter pylori,0
SAMN02603196,CP003475.1,Helicobacter pylori,0
SAMN02604324,CP003476.1,Helicobacter pylori,0
SAMN02604324,CP003477.1,Helicobacter pylori,0
SAMN02604324,CP003478.1,Helicobacter pylori,0
SAMN02604323,CP003483.1,Helicobacter pylori,0
SAMN02604323,CP003484.1,Helicobacter pylori,0
SAMN02604323,CP003485.1,Helicobacter pylori,0
SAMN02603765,CP003726.1,Enterococcus faecalis,3
SAMN02603765,CP003727.1,Enterococcus faecalis,0
SAMN02603765,CP003728.1,Enterococcus faecalis,0
SAMN02603641,CP003785.1,Klebsiella pneumoniae,1
SAMN02603155,CP003810.1,Streptococcus agalactiae,1
SAMN02603761,CP003904.1,Helicobacter pylori,0
SAMN02603762,CP003905.1,Helicobacter pylori,0
SAMN02603763,CP003906.1,Helicobacter pylori,0
SAMN02596923,CP003909.1,Neisseria spp,1
