accession	seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
AE009949	ENA|AE009949|AE009949.1|provirus_578093_617896	39804	Provirus	578093-617896	64	11	0.9791	NA	11	88.5836	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE009949	ENA|AE009949|AE009949.1|provirus_1203967_1241416	37450	Provirus	1203967-1241416	61	11	0.9766	NA	11	86.0256	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE009949	ENA|AE009949|AE009949.1|provirus_289152_332746	43595	Provirus	289152-332746	64	11	0.9759	NA	9	72.6733	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE009949	ENA|AE009949|AE009949.1|provirus_1028867_1088722	59856	Provirus	1028867-1088722	86	11	0.9639	NA	14	97.6315	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE016830	ENA|AE016830|AE016830.1|provirus_287945_326185	38241	Provirus	287945-326185	56	11	0.9767	NA	9	69.7455	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE016830	ENA|AE016830|AE016830.1|provirus_1396637_1445706	49070	Provirus	1396637-1445706	74	11	0.9665	NA	14	89.1105	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE016830	ENA|AE016830|AE016830.1|provirus_1923000_1962485	39486	Provirus	1923000-1962485	58	11	0.9662	NA	9	67.1454	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE016830	ENA|AE016830|AE016830.1|provirus_2697272_2736808	39537	Provirus	2697272-2736808	59	11	0.9648	NA	16	68.9008	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE016830	ENA|AE016830|AE016830.1|provirus_1999518_2048146	48629	Provirus	1999518-2048146	65	11	0.9610	NA	6	70.4742	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE016830	ENA|AE016830|AE016830.1|provirus_1245337_1258722	13386	Provirus	1245337-1258722	16	11	0.9214	NA	5	17.5630	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AE016831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE016832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE016833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AL157959	ENA|AL157959|AL157959.1|provirus_1767753_1810034	42282	Provirus	1767753-1810034	61	11	0.9612	NA	15	59.4677	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AL157959	ENA|AL157959|AL157959.1|provirus_1207416_1238966	31551	Provirus	1207416-1238966	53	11	0.9556	NA	9	63.6489	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AL157959	ENA|AL157959|AL157959.1|provirus_1132908_1138899	5992	Provirus	1132908-1138899	15	11	0.9245	NA	1	19.4348	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AM889136	ENA|AM889136|AM889136.1|provirus_816953_854780	37828	Provirus	816953-854780	45	11	0.9442	NA	11	35.9489	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AM889136	ENA|AM889136|AM889136.1|provirus_948205_972797	24593	Provirus	948205-972797	33	11	0.9301	NA	13	34.0322	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AM889136	ENA|AM889136|AM889136.1|provirus_925107_931601	6495	Provirus	925107-931601	15	11	0.8638	NA	1	17.7165	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AM942759	ENA|AM942759|AM942759.1|provirus_2113854_2146982	33129	Provirus	2113854-2146982	43	11	0.9674	NA	19	45.8923	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AM942759	ENA|AM942759|AM942759.1|provirus_527077_576146	49070	Provirus	527077-576146	81	11	0.9663	NA	16	78.3368	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AM942759	ENA|AM942759|AM942759.1|provirus_982975_1040900	57926	Provirus	982975-1040900	77	11	0.9237	NA	18	56.6476	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AM942759	ENA|AM942759|AM942759.1|provirus_1827859_1858998	31140	Provirus	1827859-1858998	27	11	0.9160	NA	5	25.6711	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AM942760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AM990992	ENA|AM990992|AM990992.1|provirus_370475_418767	48293	Provirus	370475-418767	68	11	0.9806	NA	11	102.8694	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AM990992	ENA|AM990992|AM990992.1|provirus_1593216_1648173	54958	Provirus	1593216-1648173	73	11	0.9794	NA	12	109.4030	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AM990993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AM990994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AM990995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP006725	ENA|AP006725|AP006725.1|provirus_2088249_2119036	30788	Provirus	2088249-2119036	39	11	0.9641	NA	3	37.1475	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP006726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP009351	ENA|AP009351|AP009351.1|provirus_1980874_2023173	42300	Provirus	1980874-2023173	61	11	0.9823	NA	14	89.5973	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP009351	ENA|AP009351|AP009351.1|provirus_320846_365151	44306	Provirus	320846-365151	67	11	0.9822	NA	12	100.4870	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP009351	ENA|AP009351|AP009351.1|provirus_1098898_1141347	42450	Provirus	1098898-1141347	62	11	0.9822	NA	15	95.5567	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP009351	ENA|AP009351|AP009351.1|provirus_2083996_2133102	49107	Provirus	2083996-2133102	65	11	0.9758	NA	11	80.2676	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP009351	ENA|AP009351|AP009351.1|provirus_1345495_1351815	6321	Provirus	1345495-1351815	12	11	0.9382	NA	1	12.4967	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP011940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP011941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP011942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP011943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP011944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP012491	ENA|AP012491|AP012491.2|provirus_1404119_1444735	40617	Provirus	1404119-1444735	55	11	0.9776	NA	9	79.1521	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP012491	ENA|AP012491|AP012491.2|provirus_1162049_1197563	35515	Provirus	1162049-1197563	57	11	0.9758	NA	8	77.2251	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP012491	ENA|AP012491|AP012491.2|provirus_990256_1040444	50189	Provirus	990256-1040444	71	11	0.9654	NA	12	78.8272	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP012496	ENA|AP012496|AP012496.1|provirus_2495343_2532361	37019	Provirus	2495343-2532361	52	11	0.9675	NA	17	56.8390	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP012496	ENA|AP012496|AP012496.1|provirus_1295808_1323850	28043	Provirus	1295808-1323850	37	11	0.9329	NA	16	43.6992	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP012600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP012601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP012602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP013063	ENA|AP013063|AP013063.1|provirus_1262350_1296662	34313	Provirus	1262350-1296662	39	11	0.9823	NA	8	56.8776	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP013063	ENA|AP013063|AP013063.1|provirus_4768161_4796455	28295	Provirus	4768161-4796455	33	11	0.9780	NA	17	44.2421	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP013063	ENA|AP013063|AP013063.1|provirus_545398_590717	45320	Provirus	545398-590717	61	11	0.9774	NA	15	61.0819	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP013063	ENA|AP013063|AP013063.1|provirus_227667_266149	38483	Provirus	227667-266149	42	11	0.9737	NA	14	50.7630	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP013063	ENA|AP013063|AP013063.1|provirus_2188425_2199228	10804	Provirus	2188425-2199228	13	11	0.9646	NA	2	7.9462	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP013063	ENA|AP013063|AP013063.1|provirus_2900619_2918090	17472	Provirus	2900619-2918090	18	11	0.9559	NA	10	24.4654	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP013064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP013065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP014523	ENA|AP014523|AP014523.1|provirus_524122_549765	25644	Provirus	524122-549765	32	11	0.9605	NA	4	40.4517	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014524	ENA|AP014524|AP014524.1|provirus_1413538_1440542	27005	Provirus	1413538-1440542	38	11	0.9474	NA	11	22.3882	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
AP014524	ENA|AP014524|AP014524.1|provirus_1790759_1802980	12222	Provirus	1790759-1802980	20	11	0.9265	NA	2	11.6137	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP014596	ENA|AP014596|AP014596.1|provirus_724976_761492	36517	Provirus	724976-761492	57	11	0.9792	NA	9	80.2784	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014596	ENA|AP014596|AP014596.1|provirus_545594_583562	37969	Provirus	545594-583562	62	11	0.9788	NA	14	82.1078	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014596	ENA|AP014596|AP014596.1|provirus_625029_667525	42497	Provirus	625029-667525	70	11	0.9785	NA	15	89.8511	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014596	ENA|AP014596|AP014596.1|provirus_446389_488375	41987	Provirus	446389-488375	53	11	0.9749	NA	7	73.7658	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014596	ENA|AP014596|AP014596.1|provirus_877665_923684	46020	Provirus	877665-923684	69	11	0.9742	NA	11	81.1953	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014596	ENA|AP014596|AP014596.1|provirus_1095031_1147065	52035	Provirus	1095031-1147065	72	11	0.9609	NA	9	74.3818	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014622	ENA|AP014622|AP014622.1|provirus_1960789_2001949	41161	Provirus	1960789-2001949	61	11	0.9798	NA	17	79.9404	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014622	ENA|AP014622|AP014622.1|provirus_5604197_5643522	39326	Provirus	5604197-5643522	53	11	0.9794	NA	13	71.4502	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014622	ENA|AP014622|AP014622.1|provirus_2586962_2625731	38770	Provirus	2586962-2625731	56	11	0.9779	NA	13	71.9517	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014622	ENA|AP014622|AP014622.1|provirus_1639187_1693039	53853	Provirus	1639187-1693039	81	11	0.9756	NA	17	107.9782	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014622	ENA|AP014622|AP014622.1|provirus_4992529_5055357	62829	Provirus	4992529-5055357	91	11	0.9755	NA	18	110.1198	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014622	ENA|AP014622|AP014622.1|provirus_1292389_1342177	49789	Provirus	1292389-1342177	66	11	0.9612	NA	13	67.1030	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014622	ENA|AP014622|AP014622.1|provirus_667633_686107	18475	Provirus	667633-686107	26	11	0.8837	NA	14	32.7556	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014649	ENA|AP014649|AP014649.1|provirus_1033851_1077284	43434	Provirus	1033851-1077284	73	11	0.9761	NA	16	74.3515	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014649	ENA|AP014649|AP014649.1|provirus_2682575_2726435	43861	Provirus	2682575-2726435	64	11	0.9667	NA	11	57.7775	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014649	ENA|AP014649|AP014649.1|provirus_1604448_1648159	43712	Provirus	1604448-1648159	63	11	0.9632	NA	11	60.6843	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014649	ENA|AP014649|AP014649.1|provirus_2858275_2919172	60898	Provirus	2858275-2919172	69	11	0.9428	NA	11	50.8745	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP014650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017610	ENA|AP017610|AP017610.1|provirus_623450_670293	46844	Provirus	623450-670293	58	11	0.9716	NA	21	65.1973	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP017610	ENA|AP017610|AP017610.1|provirus_4529324_4578102	48779	Provirus	4529324-4578102	65	11	0.9688	NA	18	73.6834	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP017610	ENA|AP017610|AP017610.1|provirus_884517_945255	60739	Provirus	884517-945255	82	11	0.9688	NA	26	88.6828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP017610	ENA|AP017610|AP017610.1|provirus_2115028_2156921	41894	Provirus	2115028-2156921	54	11	0.9687	NA	17	59.3394	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP017610	ENA|AP017610|AP017610.1|provirus_1685245_1739175	53931	Provirus	1685245-1739175	62	11	0.9457	NA	18	56.3717	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP017611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017612	ENA|AP017612|AP017612.1	108986	No terminal repeats	NA	126	11	0.9698	NA	16	112.0392	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP017613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017623	ENA|AP017623|AP017623.1|provirus_1062213_1075648	13436	Provirus	1062213-1075648	17	11	0.9097	NA	5	17.5630	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP017629	ENA|AP017629|AP017629.1|provirus_527275_552429	25155	Provirus	527275-552429	34	11	0.9805	NA	3	43.7320	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP017632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017922	ENA|AP017922|AP017922.1|provirus_1426861_1475518	48658	Provirus	1426861-1475518	68	11	0.9791	NA	14	100.5058	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP017922	ENA|AP017922|AP017922.1|provirus_1263726_1280869	17144	Provirus	1263726-1280869	35	11	0.9593	NA	9	31.1501	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP017923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018385	ENA|AP018385|AP018385.1|provirus_451715_497917	46203	Provirus	451715-497917	65	11	0.9552	NA	11	56.2184	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018385	ENA|AP018385|AP018385.1|provirus_1622746_1644073	21328	Provirus	1622746-1644073	32	11	0.9228	NA	3	20.1408	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018385	ENA|AP018385|AP018385.1|provirus_1107302_1148497	41196	Provirus	1107302-1148497	54	11	0.8951	NA	5	40.8862	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018677	ENA|AP018677|AP018677.1|provirus_1424433_1438055	13623	Provirus	1424433-1438055	20	11	0.9542	NA	4	17.6971	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
AP018677	ENA|AP018677|AP018677.1|provirus_1186752_1197255	10504	Provirus	1186752-1197255	16	11	0.8775	NA	2	9.9257	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018764	ENA|AP018764|AP018764.1|provirus_46691_84307	37617	Provirus	46691-84307	52	11	0.9772	NA	14	63.6182	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018764	ENA|AP018764|AP018764.1|provirus_715180_766797	51618	Provirus	715180-766797	67	11	0.9699	NA	21	73.6410	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018764	ENA|AP018764|AP018764.1|provirus_404258_440663	36406	Provirus	404258-440663	53	11	0.9686	NA	13	64.9400	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018764	ENA|AP018764|AP018764.1|provirus_1447942_1469432	21491	Provirus	1447942-1469432	36	11	0.9665	NA	9	34.6244	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018764	ENA|AP018764|AP018764.1|provirus_1338708_1373475	34768	Provirus	1338708-1373475	53	11	0.9559	NA	15	57.9311	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018764	ENA|AP018764|AP018764.1|provirus_1574129_1613486	39358	Provirus	1574129-1613486	57	11	0.9504	NA	17	41.5624	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018765	ENA|AP018765|AP018765.1|provirus_46691_84307	37617	Provirus	46691-84307	52	11	0.9772	NA	14	63.6182	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018765	ENA|AP018765|AP018765.1|provirus_715186_766803	51618	Provirus	715186-766803	67	11	0.9699	NA	21	73.6410	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018765	ENA|AP018765|AP018765.1|provirus_404212_440617	36406	Provirus	404212-440617	53	11	0.9686	NA	13	64.9400	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018765	ENA|AP018765|AP018765.1|provirus_1513317_1534807	21491	Provirus	1513317-1534807	36	11	0.9635	NA	9	34.6244	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018765	ENA|AP018765|AP018765.1|provirus_1369251_1406045	36795	Provirus	1369251-1406045	55	11	0.9539	NA	17	41.5624	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018765	ENA|AP018765|AP018765.1|provirus_1609274_1644041	34768	Provirus	1609274-1644041	53	11	0.9530	NA	15	57.9311	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018766	ENA|AP018766|AP018766.1|provirus_1301868_1333625	31758	Provirus	1301868-1333625	50	11	0.9593	NA	9	45.4390	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018766	ENA|AP018766|AP018766.1|provirus_1439475_1478822	39348	Provirus	1439475-1478822	62	11	0.9574	NA	20	48.6293	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018768	ENA|AP018768|AP018768.1|provirus_1370266_1391402	21137	Provirus	1370266-1391402	35	11	0.9672	NA	9	32.9061	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018768	ENA|AP018768|AP018768.1|provirus_1238940_1264295	25356	Provirus	1238940-1264295	35	11	0.9633	NA	14	35.0028	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018769	ENA|AP018769|AP018769.1|provirus_1289067_1310251	21185	Provirus	1289067-1310251	34	11	0.9671	NA	9	34.6529	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018769	ENA|AP018769|AP018769.1|provirus_1416042_1443280	27239	Provirus	1416042-1443280	42	11	0.9597	NA	16	39.4902	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018771	ENA|AP018771|AP018771.1|provirus_1563665_1613172	49508	Provirus	1563665-1613172	70	11	0.9711	NA	20	74.3659	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018771	ENA|AP018771|AP018771.1|provirus_1424417_1441687	17271	Provirus	1424417-1441687	31	11	0.9680	NA	6	29.5932	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018771	ENA|AP018771|AP018771.1|provirus_959206_993818	34613	Provirus	959206-993818	43	11	0.9638	NA	12	53.3745	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018771	ENA|AP018771|AP018771.1|provirus_1273227_1315764	42538	Provirus	1273227-1315764	64	11	0.9549	NA	19	50.1286	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018777	ENA|AP018777|AP018777.1|provirus_1356975_1399665	42691	Provirus	1356975-1399665	64	11	0.9685	NA	18	60.4375	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018777	ENA|AP018777|AP018777.1|provirus_1233619_1275152	41534	Provirus	1233619-1275152	55	11	0.9544	NA	20	55.9212	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018777	ENA|AP018777|AP018777.1|provirus_1095820_1122331	26512	Provirus	1095820-1122331	25	11	0.8170	NA	9	7.1308	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018778	ENA|AP018778|AP018778.1|provirus_513561_548861	35301	Provirus	513561-548861	48	11	0.9664	NA	14	60.8908	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018778	ENA|AP018778|AP018778.1|provirus_1556301_1608028	51728	Provirus	1556301-1608028	69	11	0.9656	NA	21	73.0198	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018778	ENA|AP018778|AP018778.1|provirus_983120_1018765	35646	Provirus	983120-1018765	49	11	0.9636	NA	12	58.3824	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018778	ENA|AP018778|AP018778.1|provirus_1294279_1332644	38366	Provirus	1294279-1332644	55	11	0.9594	NA	18	47.6473	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018780	ENA|AP018780|AP018780.1|provirus_1518693_1574734	56042	Provirus	1518693-1574734	69	11	0.9712	NA	10	69.2417	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
AP018780	ENA|AP018780|AP018780.1|provirus_1376766_1396584	19819	Provirus	1376766-1396584	34	11	0.9657	NA	8	34.7429	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
