accession	seq_name	amidase_count	lysozyme_count	total_count
CP089148.1_virus_genes.tsv	ENA|CP089148|CP089148.1|provirus_665965_702785	0	0	0
CP098503.2_virus_genes.tsv	ENA|CP098503|CP098503.2|provirus_1159568_1184270	0	0	0
CP033056.1_virus_genes.tsv	ENA|CP033056|CP033056.1|provirus_1251736_1297110	1	1	2
CP171923.1_virus_genes.tsv	ENA|CP171923|CP171923.1|provirus_2515068_2555756	0	0	0
CP042107.1_virus_genes.tsv	ENA|CP042107|CP042107.1|provirus_1423103_1470838	0	0	0
CP181076.1_virus_genes.tsv	ENA|CP181076|CP181076.1|provirus_2363361_2413551	0	0	0
CP114979.1_virus_genes.tsv	ENA|CP114979|CP114979.1|provirus_1471805_1501282	0	0	0
BA000034.2_virus_genes.tsv	ENA|BA000034|BA000034.2|provirus_1095508_1147543	0	0	0
CP114105.1_virus_genes.tsv	ENA|CP114105|CP114105.1|provirus_6379766_6400403	0	0	0
CM130085.1_virus_genes.tsv	ENA|CM130085|CM130085.1|provirus_2794401_2835713	2	1	3
CP102546.1_virus_genes.tsv	ENA|CP102546|CP102546.1|provirus_2280246_2322630	1	0	1
CP060005.1_virus_genes.tsv	ENA|CP060005|CP060005.1|provirus_3269763_3317479	0	1	1
CP021865.1_virus_genes.tsv	ENA|CP021865|CP021865.1|provirus_1184422_1226555	1	0	1
AP027666.1_virus_genes.tsv	ENA|AP027666|AP027666.1|provirus_3176433_3209493	1	1	2
CP191305.1_virus_genes.tsv	ENA|CP191305|CP191305.1|provirus_2394381_2437397	0	0	0
CP162982.1_virus_genes.tsv	ENA|CP162982|CP162982.1|provirus_2914448_2945253	1	1	2
CP073246.1_virus_genes.tsv	ENA|CP073246|CP073246.1|provirus_752113_799207	0	0	0
CP034039.1_virus_genes.tsv	ENA|CP034039|CP034039.1|provirus_5340569_5374882	0	0	0
LS483432.1_virus_genes.tsv	ENA|LS483432|LS483432.1|provirus_533031_558185	0	0	0
CP091659.1_virus_genes.tsv	ENA|CP091659|CP091659.1|provirus_2718070_2762037	2	1	3
CP062708.1_virus_genes.tsv	ENA|CP062708|CP062708.1|provirus_1228134_1247824	1	1	2
CP125367.1_virus_genes.tsv	ENA|CP125367|CP125367.1|provirus_5229463_5268166	0	0	0
CP074909.1_virus_genes.tsv	ENA|CP074909|CP074909.1|provirus_2990100_3051369	1	1	2
CP013305.1_virus_genes.tsv	ENA|CP013305|CP013305.1|provirus_2339888_2372080	1	1	2
CP066434.1_virus_genes.tsv	ENA|CP066434|CP066434.1|provirus_2138066_2176909	0	0	0
CP050506.1_virus_genes.tsv	ENA|CP050506|CP050506.1|provirus_1224473_1239794	0	0	0
CP018640.1_virus_genes.tsv	ENA|CP018640|CP018640.1|provirus_1298259_1324849	1	1	2
AP025807.1_virus_genes.tsv	ENA|AP025807|AP025807.1|provirus_3969689_4001572	1	1	2
CP054227.1_virus_genes.tsv	ENA|CP054227|CP054227.1|provirus_1_29055	0	0	0
CP045719.1_virus_genes.tsv	ENA|CP045719|CP045719.1|provirus_767092_801187	0	0	0
CP069522.1_virus_genes.tsv	ENA|CP069522|CP069522.1|provirus_2772311_2824988	2	1	3
CP031690.1_virus_genes.tsv	ENA|CP031690|CP031690.1|provirus_638634_688730	2	1	3
CP015020.1_virus_genes.tsv	ENA|CP015020|CP015020.1|provirus_5477300_5561696	2	2	4
CP151852.1_virus_genes.tsv	ENA|CP151852|CP151852.1|provirus_994911_1045099	0	0	0
CP022070.2_virus_genes.tsv	ENA|CP022070|CP022070.2|provirus_2523338_2535049	0	0	0
CP047633.1_virus_genes.tsv	ENA|CP047633|CP047633.1|provirus_3183654_3236670	1	1	2
CP006784.1_virus_genes.tsv	ENA|CP006784|CP006784.1|provirus_1254700_1305371	1	0	1
CP115250.1_virus_genes.tsv	ENA|CP115250|CP115250.1|provirus_758164_778070	0	0	0
CP017353.1_virus_genes.tsv	ENA|CP017353|CP017353.1|provirus_6330152_6381899	0	0	0
CP066473.1_virus_genes.tsv	ENA|CP066473|CP066473.1|provirus_1011064_1051775	0	0	0
CP151700.1_virus_genes.tsv	ENA|CP151700|CP151700.1|provirus_833466_892882	0	1	1
CP026084.1_virus_genes.tsv	ENA|CP026084|CP026084.1|provirus_1188174_1242317	1	0	1
OZ197095.1_virus_genes.tsv	ENA|OZ197095|OZ197095.1|provirus_2104187_2155898	0	1	1
JAUFOL000000000_virus_genes.tsv	ENA|JAUFOL010000001|JAUFOL010000001.1|provirus_3969084_3998090	1	1	2
CP157756.1_virus_genes.tsv	ENA|CP157756|CP157756.1|provirus_1138883_1168992	0	0	0
CP195675.1_virus_genes.tsv	ENA|CP195675|CP195675.1|provirus_6037_61169	0	1	1
CP038282.1_virus_genes.tsv	ENA|CP038282|CP038282.1|provirus_1815155_1875141	1	1	2
CP175045.1_virus_genes.tsv	ENA|CP175045|CP175045.1|provirus_1407938_1421321	0	0	0
CP060065.1_virus_genes.tsv	ENA|CP060065|CP060065.1|provirus_2289012_2348823	2	1	3
CP012582.1_virus_genes.tsv	ENA|CP012582|CP012582.1|provirus_667089_685563	0	0	0
CP116546.1_virus_genes.tsv	ENA|CP116546|CP116546.1|provirus_1933527_1974768	0	0	0
CP043955.1_virus_genes.tsv	ENA|CP043955|CP043955.1|provirus_1739560_1783320	1	1	2
CP171672.1_virus_genes.tsv	ENA|CP171672|CP171672.1|provirus_1167490_1179711	0	0	0
CP137228.1_virus_genes.tsv	ENA|CP137228|CP137228.1|provirus_2661623_2709733	0	0	0
CP115204.1_virus_genes.tsv	ENA|CP115204|CP115204.1|provirus_643839_701030	0	0	0
CP045947.1_virus_genes.tsv	ENA|CP045947|CP045947.1|provirus_2918718_2957770	1	1	2
CM129925.1_virus_genes.tsv	ENA|CM129925|CM129925.1|provirus_1508256_1524406	0	0	0
CP114564.1_virus_genes.tsv	ENA|CP114564|CP114564.1|provirus_677705_691588	0	0	0
CP043203.1_virus_genes.tsv	ENA|CP043203|CP043203.1|provirus_1404358_1416828	0	0	0
JBQOVL000000000_virus_genes.tsv	ENA|JBQOVL010000001|JBQOVL010000001.1|provirus_1248763_1273704	0	0	0
CP083775.1_virus_genes.tsv	ENA|CP083775|CP083775.1|provirus_1286246_1330322	0	0	0
CP063440.1_virus_genes.tsv	ENA|CP063440|CP063440.1|provirus_2461575_2493702	0	0	0
CP149385.1_virus_genes.tsv	ENA|CP149385|CP149385.1|provirus_1744173_1787821	1	1	2
CP062833.1_virus_genes.tsv	ENA|CP062833|CP062833.1|provirus_3_67928	0	0	0
CP121266.1_virus_genes.tsv	ENA|CP121266|CP121266.1|provirus_3255974_3292489	0	0	0
CP021696.1_virus_genes.tsv	ENA|CP021696|CP021696.1|provirus_387141_435371	1	1	2
CP064424.1_virus_genes.tsv	ENA|CP064424|CP064424.1|provirus_2055242_2094084	0	0	0
CP035917.1_virus_genes.tsv	ENA|CP035917|CP035917.1|provirus_2932863_2971915	1	1	2
AP018764.1_virus_genes.tsv	ENA|AP018764|AP018764.1|provirus_1574129_1613486	2	1	3
LR890181.1_virus_genes.tsv	ENA|LR890181|LR890181.1|provirus_651449_682677	0	0	0
CP148140.1_virus_genes.tsv	ENA|CP148140|CP148140.1|provirus_1469590_1500614	0	0	0
LR890181.1_virus_genes.tsv	ENA|LR890181|LR890181.1|provirus_2903698_2935931	1	1	2
HG326213.1_virus_genes.tsv	ENA|HG326213|HG326213.1|provirus_2320858_2335107	0	0	0
CP053796.1_virus_genes.tsv	ENA|CP053796|CP053796.1|provirus_1779318_1817342	1	1	2
CP031681.1_virus_genes.tsv	ENA|CP031681|CP031681.1|provirus_1675438_1724871	2	1	3
CP029725.1_virus_genes.tsv	ENA|CP029725|CP029725.1|provirus_534249_565252	0	0	0
CP131818.1_virus_genes.tsv	ENA|CP131818|CP131818.1|provirus_878157_921577	0	0	0
CP020581.1_virus_genes.tsv	ENA|CP020581|CP020581.1|provirus_3280810_3316959	0	1	1
CP196985.1_virus_genes.tsv	ENA|CP196985|CP196985.1|provirus_1369496_1400558	0	1	1
CP155535.1_virus_genes.tsv	ENA|CP155535|CP155535.1|provirus_911362_919279	0	0	0
CP054278.1_virus_genes.tsv	ENA|CP054278|CP054278.1|provirus_2501020_2533132	0	0	0
CP126831.1_virus_genes.tsv	ENA|CP126831|CP126831.1|provirus_2886134_2935799	1	1	2
CP115219.1_virus_genes.tsv	ENA|CP115219|CP115219.1|provirus_2758282_2809350	0	0	0
CP117475.1_virus_genes.tsv	ENA|CP117475|CP117475.1|provirus_4015479_4043467	0	0	0
AP014523.1_virus_genes.tsv	ENA|AP014523|AP014523.1|provirus_524122_549765	0	0	0
CP014026.2_virus_genes.tsv	ENA|CP014026|CP014026.2|provirus_1855331_1901735	1	1	2
CP076272.1_virus_genes.tsv	ENA|CP076272|CP076272.1|provirus_2709092_2754396	0	0	0
CP147688.1_virus_genes.tsv	ENA|CP147688|CP147688.1|provirus_1564998_1618382	1	0	1
CP152080.1_virus_genes.tsv	ENA|CP152080|CP152080.1|provirus_2571355_2611158	1	1	2
CP181851.1_virus_genes.tsv	ENA|CP181851|CP181851.1|provirus_2896594_2938385	1	1	2
CP069157.1_virus_genes.tsv	ENA|CP069157|CP069157.1|provirus_1113150_1161641	1	1	2
CP098474.1_virus_genes.tsv	ENA|CP098474|CP098474.1|provirus_1632969_1657430	0	0	0
CP068696.1_virus_genes.tsv	ENA|CP068696|CP068696.1|provirus_78023_98442	1	0	1
CP040701.1_virus_genes.tsv	ENA|CP040701|CP040701.1|provirus_2024625_2079405	0	0	0
CP114985.1_virus_genes.tsv	ENA|CP114985|CP114985.1|provirus_2496826_2544808	0	0	0
CP017293.1_virus_genes.tsv	ENA|CP017293|CP017293.1|provirus_713759_744381	0	0	0
CP151447.1_virus_genes.tsv	ENA|CP151447|CP151447.1|provirus_1408794_1449410	0	0	0
CP115296.1_virus_genes.tsv	ENA|CP115296|CP115296.1|provirus_2771309_2791535	0	0	0
CP012952.1_virus_genes.tsv	ENA|CP012952|CP012952.1|provirus_1988732_2023510	0	0	0
CP138642.1_virus_genes.tsv	ENA|CP138642|CP138642.1|provirus_1226422_1240006	0	0	0
CP042841.1_virus_genes.tsv	ENA|CP042841|CP042841.1|provirus_2410950_2445245	0	0	0
CP091682.1_virus_genes.tsv	ENA|CP091682|CP091682.1|provirus_1840580_1886732	1	1	2
CP031632.1_virus_genes.tsv	ENA|CP031632|CP031632.1|provirus_1306507_1347470	0	0	0
CP070524.1_virus_genes.tsv	ENA|CP070524|CP070524.1|provirus_1502071_1506294	1	1	2
CP029660.1_virus_genes.tsv	ENA|CP029660|CP029660.1|provirus_4641764_4677198	0	0	0
CP191283.1_virus_genes.tsv	ENA|CP191283|CP191283.1|provirus_1119625_1169822	0	0	0
CP175239.1_virus_genes.tsv	ENA|CP175239|CP175239.1|provirus_1308275_1356788	0	0	0
CP043203.1_virus_genes.tsv	ENA|CP043203|CP043203.1|provirus_2228525_2257157	1	1	2
CP080280.1_virus_genes.tsv	ENA|CP080280|CP080280.1|provirus_5826578_5845048	0	0	0
CP110352.1_virus_genes.tsv	ENA|CP110352|CP110352.1|provirus_2608574_2662539	0	0	0
CP104471.1_virus_genes.tsv	ENA|CP104471|CP104471.1|provirus_1773307_1794509	0	0	0
CP043556.1_virus_genes.tsv	ENA|CP043556|CP043556.1|provirus_377019_396987	0	0	0
AP024730.1_virus_genes.tsv	ENA|AP024730|AP024730.1|provirus_1551626_1604181	1	0	1
CP001172.2_virus_genes.tsv	ENA|CP001172|CP001172.2|provirus_2459651_2479239	0	1	1
CP043284.1_virus_genes.tsv	ENA|CP043284|CP043284.1|provirus_4378318_4399327	0	0	0
CP006262.1_virus_genes.tsv	ENA|CP006262|CP006262.1|provirus_2708896_2767511	1	1	2
CP189770.1_virus_genes.tsv	ENA|CP189770|CP189770.1|provirus_2652055_2710685	1	1	2
CP157581.1_virus_genes.tsv	ENA|CP157581|CP157581.1|provirus_412614_466639	0	0	0
CP088134.1_virus_genes.tsv	ENA|CP088134|CP088134.1|provirus_931441_971638	0	0	0
CP031449.2_virus_genes.tsv	ENA|CP031449|CP031449.2|provirus_691859_710334	0	0	0
CP143703.1_virus_genes.tsv	ENA|CP143703|CP143703.1|provirus_4133516_4174387	1	1	2
CP039436.1_virus_genes.tsv	ENA|CP039436|CP039436.1|provirus_3509774_3555105	1	1	2
CP091018.1_virus_genes.tsv	ENA|CP091018|CP091018.1|provirus_4419129_4440132	0	0	0
OX460984.1_virus_genes.tsv	ENA|OX460984|OX460984.1|provirus_638795_694473	1	0	1
LR135317.1_virus_genes.tsv	ENA|LR135317|LR135317.1|provirus_2027088_2060927	0	0	0
CP043770.1_virus_genes.tsv	ENA|CP043770|CP043770.1|provirus_193216_251027	1	0	1
CP175276.1_virus_genes.tsv	ENA|CP175276|CP175276.1|provirus_2443540_2511946	0	0	0
CP148894.1_virus_genes.tsv	ENA|CP148894|CP148894.1|provirus_682668_730541	1	0	1
CP107038.1_virus_genes.tsv	ENA|CP107038|CP107038.1|provirus_30202_78705	0	0	0
CP163155.1_virus_genes.tsv	ENA|CP163155|CP163155.1|provirus_5334620_5344663	0	0	0
CP135826.1_virus_genes.tsv	ENA|CP135826|CP135826.1|provirus_1622496_1643998	0	0	0
CP047295.1_virus_genes.tsv	ENA|CP047295|CP047295.1|provirus_1134406_1146627	0	0	0
JBSORM000000000_virus_genes.tsv	ENA|JBSORM010000001|JBSORM010000001.1|provirus_1833875_1899596	0	0	0
CP172851.1_virus_genes.tsv	ENA|CP172851|CP172851.1|provirus_663484_683390	0	0	0
BA000034.2_virus_genes.tsv	ENA|BA000034|BA000034.2|provirus_877707_924160	0	0	0
CP138339.1_virus_genes.tsv	ENA|CP138339|CP138339.1|provirus_453446_498554	0	0	0
CP098466.2_virus_genes.tsv	ENA|CP098466|CP098466.2|provirus_727306_744116	0	0	0
CP126623.1_virus_genes.tsv	ENA|CP126623|CP126623.1|provirus_3653332_3685939	1	1	2
CP056573.1_virus_genes.tsv	ENA|CP056573|CP056573.1|provirus_2917684_2963178	0	0	0
LS483301.1_virus_genes.tsv	ENA|LS483301|LS483301.1|provirus_1324337_1331556	0	0	0
CP091700.1_virus_genes.tsv	ENA|CP091700|CP091700.1|provirus_1585237_1607096	0	0	0
JBSBGN000000000_virus_genes.tsv	ENA|JBSBGN010000001|JBSBGN010000001.1|provirus_827226_842217	0	0	0
CP061513.1_virus_genes.tsv	ENA|CP061513|CP061513.1|provirus_1693087_1742408	0	0	0
CP021774.1_virus_genes.tsv	ENA|CP021774|CP021774.1|provirus_3271504_3309871	0	0	0
AM942759.1_virus_genes.tsv	ENA|AM942759|AM942759.1|provirus_1827859_1858998	0	0	0
CP083775.1_virus_genes.tsv	ENA|CP083775|CP083775.1|provirus_1947317_1988001	0	0	0
CP024867.1_virus_genes.tsv	ENA|CP024867|CP024867.1|provirus_1292671_1312040	0	0	0
CP100715.1_virus_genes.tsv	ENA|CP100715|CP100715.1|provirus_1926902_1968853	0	0	0
CP091343.1_virus_genes.tsv	ENA|CP091343|CP091343.1|provirus_2290313_2352365	0	1	1
CP149576.1_virus_genes.tsv	ENA|CP149576|CP149576.1|provirus_2658772_2695790	0	0	0
CP169768.1_virus_genes.tsv	ENA|CP169768|CP169768.1|provirus_3901683_3919444	0	0	0
CP137108.1_virus_genes.tsv	ENA|CP137108|CP137108.1|provirus_1205409_1220897	0	0	0
CP107601.1_virus_genes.tsv	ENA|CP107601|CP107601.1|provirus_2717021_2773254	0	1	1
CP066836.1_virus_genes.tsv	ENA|CP066836|CP066836.1|provirus_1733653_1778177	2	1	3
AP022326.1_virus_genes.tsv	ENA|AP022326|AP022326.1|provirus_2062070_2104466	0	0	0
CM130044.1_virus_genes.tsv	ENA|CM130044|CM130044.1|provirus_3969084_3998090	1	1	2
CP066891.1_virus_genes.tsv	ENA|CP066891|CP066891.1|provirus_1215899_1255080	1	1	2
CP032316.1_virus_genes.tsv	ENA|CP032316|CP032316.1|provirus_468982_504205	1	1	2
CP098025.1_virus_genes.tsv	ENA|CP098025|CP098025.1|provirus_1634266_1668901	1	0	1
OW849111.1_virus_genes.tsv	ENA|OW849111|OW849111.1|provirus_1962601_2001851	1	1	2
CP118635.1_virus_genes.tsv	ENA|CP118635|CP118635.1|provirus_2327282_2358974	0	0	0
LR881934.1_virus_genes.tsv	ENA|LR881934|LR881934.1|provirus_2202551_2249006	1	1	2
CP149988.1_virus_genes.tsv	ENA|CP149988|CP149988.1|provirus_2363439_2380999	0	0	0
CP029846.1_virus_genes.tsv	ENA|CP029846|CP029846.1|provirus_4459496_4501806	1	1	2
AP025807.1_virus_genes.tsv	ENA|AP025807|AP025807.1|provirus_4646958_4683196	0	0	0
CM133233.1_virus_genes.tsv	ENA|CM133233|CM133233.1|provirus_2673363_2730120	1	1	2
CP107223.1_virus_genes.tsv	ENA|CP107223|CP107223.1|provirus_521239_560173	0	0	0
CP083613.1_virus_genes.tsv	ENA|CP083613|CP083613.1|provirus_2334520_2388301	1	1	2
CP044314.1_virus_genes.tsv	ENA|CP044314|CP044314.1|provirus_4309683_4368975	1	1	2
CP106811.1_virus_genes.tsv	ENA|CP106811|CP106811.1|provirus_1649471_1677416	0	0	0
LR134205.1_virus_genes.tsv	ENA|LR134205|LR134205.1|provirus_2354580_2385670	0	0	0
CP064847.1_virus_genes.tsv	ENA|CP064847|CP064847.1|provirus_915418_954962	0	0	0
CP047273.1_virus_genes.tsv	ENA|CP047273|CP047273.1|provirus_2121148_2165980	0	0	0
CP120325.1_virus_genes.tsv	ENA|CP120325|CP120325.1|provirus_652805_682102	0	0	0
CP015004.1_virus_genes.tsv	ENA|CP015004|CP015004.1|provirus_2643156_2680174	0	0	0
JBRUSS000000000_virus_genes.tsv	ENA|JBRUSS010000002|JBRUSS010000002.1|provirus_393109_430760	0	1	1
CP033625.1_virus_genes.tsv	ENA|CP033625|CP033625.1|provirus_1337079_1380860	0	0	0
CP027501.1_virus_genes.tsv	ENA|CP027501|CP027501.1|provirus_795079_832313	0	0	0
AP031218.1_virus_genes.tsv	ENA|AP031218|AP031218.1|provirus_682746_720237	0	0	0
CP056809.1_virus_genes.tsv	ENA|CP056809|CP056809.1|provirus_2910078_2940883	1	1	2
CP046736.1_virus_genes.tsv	ENA|CP046736|CP046736.1|provirus_1788068_1846461	1	1	2
CP071234.1_virus_genes.tsv	ENA|CP071234|CP071234.1|provirus_1970379_2005168	0	0	0
CP042363.1_virus_genes.tsv	ENA|CP042363|CP042363.1|provirus_827006_844539	1	1	2
CP019466.1_virus_genes.tsv	ENA|CP019466|CP019466.1|provirus_1633971_1656446	0	0	0
CP006631.1_virus_genes.tsv	ENA|CP006631|CP006631.1|provirus_3874031_3917000	0	0	0
CP015229.1_virus_genes.tsv	ENA|CP015229|CP015229.1|provirus_3958651_3971912	0	0	0
AP025879.1_virus_genes.tsv	ENA|AP025879|AP025879.1|provirus_3069727_3120243	0	0	0
CP041176.1_virus_genes.tsv	ENA|CP041176|CP041176.1|provirus_2667601_2694191	1	1	2
CP183852.1_virus_genes.tsv	ENA|CP183852|CP183852.1	0	0	0
CP137183.1_virus_genes.tsv	ENA|CP137183|CP137183.1|provirus_4040117_4097813	0	0	0
CP042857.1_virus_genes.tsv	ENA|CP042857|CP042857.1|provirus_70488_102356	0	0	0
CP039403.1_virus_genes.tsv	ENA|CP039403|CP039403.1|provirus_236397_266655	0	0	0
CP131834.1_virus_genes.tsv	ENA|CP131834|CP131834.1|provirus_1251790_1289488	0	0	0
CP041738.1_virus_genes.tsv	ENA|CP041738|CP041738.1|provirus_1976257_2024885	0	0	0
CP025474.1_virus_genes.tsv	ENA|CP025474|CP025474.1|provirus_889725_907678	0	0	0
CP187944.1_virus_genes.tsv	ENA|CP187944|CP187944.1|provirus_1665010_1706723	1	1	2
CP110894.1_virus_genes.tsv	ENA|CP110894|CP110894.1|provirus_3454753_3495651	0	0	0
CP058153.1_virus_genes.tsv	ENA|CP058153|CP058153.1|provirus_2719084_2759371	0	0	0
FQ670204.1_virus_genes.tsv	ENA|FQ670204|FQ670204.1|provirus_1945214_1971916	0	1	1
CP002496.1_virus_genes.tsv	ENA|CP002496|CP002496.1|provirus_2644705_2699866	0	0	0
CP110074.1_virus_genes.tsv	ENA|CP110074|CP110074.1|provirus_1747162_1787120	0	0	0
CP025736.1_virus_genes.tsv	ENA|CP025736|CP025736.1|provirus_3106413_3120651	0	0	0
CP085291.1_virus_genes.tsv	ENA|CP085291|CP085291.1|provirus_134635_148020	0	0	0
CP003121.1_virus_genes.tsv	ENA|CP003121|CP003121.1|provirus_1096720_1143106	0	0	0
CP138642.1_virus_genes.tsv	ENA|CP138642|CP138642.1|provirus_2557604_2595239	0	0	0
CP101057.1_virus_genes.tsv	ENA|CP101057|CP101057.1|provirus_1352427_1406889	1	1	2
CP014982.2_virus_genes.tsv	ENA|CP014982|CP014982.2|provirus_3226100_3274518	1	1	2
CP076623.1_virus_genes.tsv	ENA|CP076623|CP076623.1|provirus_1612891_1616985	1	1	2
CP044093.1_virus_genes.tsv	ENA|CP044093|CP044093.1|provirus_1223918_1264535	0	0	0
CP013955.1_virus_genes.tsv	ENA|CP013955|CP013955.1|provirus_883579_915273	1	0	1
CP149984.1_virus_genes.tsv	ENA|CP149984|CP149984.1|provirus_639126_680666	0	0	0
CP062708.1_virus_genes.tsv	ENA|CP062708|CP062708.1|provirus_1526060_1601996	1	1	2
CP151446.1_virus_genes.tsv	ENA|CP151446|CP151446.1|provirus_994910_1045098	0	0	0
CP146909.1_virus_genes.tsv	ENA|CP146909|CP146909.1|provirus_2384235_2415169	0	0	0
CP135840.1_virus_genes.tsv	ENA|CP135840|CP135840.1|provirus_1715055_1755575	1	1	2
CP132961.1_virus_genes.tsv	ENA|CP132961|CP132961.1|provirus_3405400_3414482	0	0	0
CP056256.1_virus_genes.tsv	ENA|CP056256|CP056256.1|provirus_2484672_2521283	1	1	2
CP035226.1_virus_genes.tsv	ENA|CP035226|CP035226.1|provirus_1249127_1286659	0	0	0
CP010134.1_virus_genes.tsv	ENA|CP010134|CP010134.1|provirus_421065_467754	1	1	2
CP025847.1_virus_genes.tsv	ENA|CP025847|CP025847.1|provirus_3599417_3631262	0	0	0
CP130126.1_virus_genes.tsv	ENA|CP130126|CP130126.1|provirus_1338807_1380521	0	0	0
CP045947.1_virus_genes.tsv	ENA|CP045947|CP045947.1|provirus_1246560_1296336	1	1	2
CP056235.1_virus_genes.tsv	ENA|CP056235|CP056235.1|provirus_4057503_4109315	1	1	2
CP191302.1_virus_genes.tsv	ENA|CP191302|CP191302.1|provirus_2196034_2226880	0	0	0
CP031571.1_virus_genes.tsv	ENA|CP031571|CP031571.1|provirus_1564805_1613684	1	1	2
CP110063.1_virus_genes.tsv	ENA|CP110063|CP110063.1|provirus_1957849_1986608	0	0	0
