accession	seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
AP014523.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP014524.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP014525.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP014596.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP014622.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP014649.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP014650.1	ENA|AP014650|AP014650.1	189354	No terminal repeats	192	11	0.9886	NA	7	43.0507	traU;I_traN;I_traM;I_traI;I_traY;I_traW	NF000466;NF012174;NF033144;NF012171
AP017610.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017611.1	ENA|AP017611|AP017611.1	168972	No terminal repeats	173	11	0.9948	NA	30	103.4835	F_traE;MOBF;F_traG;F_traH;F_traF;F_traN;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NA
AP017612.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017613.1	ENA|AP017613|AP017613.1	108957	No terminal repeats	123	11	0.9949	NA	20	76.0469	traU;I_traT;I_traR;I_traQ;I_traP;I_traO;I_traN;I_traL;I_traK;I_traI;I_traE;MOBP1;I_trbB;I_trbA;I_traY;I_traW;I_traV;traU	NF012174
AP017614.1	ENA|AP017614|AP017614.1	61805	No terminal repeats	77	11	0.9938	NA	8	36.7954	MOBP1;T_virB9;T_virB8;T_virB6	NA
AP017615.1	ENA|AP017615|AP017615.1	6078	No terminal repeats	7	11	0.9953	NA	2	6.2752	MOBQ	NA
AP017616.1	ENA|AP017616|AP017616.1	4073	No terminal repeats	3	11	0.9934	NA	1	1.7183	NA	NA
AP017623.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017629.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017632.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017633.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017634.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017922.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP017923.1	ENA|AP017923|AP017923.1	37965	No terminal repeats	46	11	0.9853	NA	3	12.1179	MOBP2	NA
AP018385.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018386.1	ENA|AP018386|AP018386.1	39058	No terminal repeats	46	11	0.9766	NA	9	16.3681	T_virB5;T_virB10;T_virB9;T_virB8;virb4;T_virB2;T_virB11	NA
AP018387.1	ENA|AP018387|AP018387.1	4207	No terminal repeats	9	11	0.9956	NA	3	9.8962	MOBP1	NA
AP018391.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018677.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018764.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018765.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018766.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018768.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018769.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018771.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018772.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018774.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018775.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018776.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018777.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018778.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018779.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018780.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018781.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018935.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018937.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP018938.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP019009.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP019010.1	ENA|AP019010|AP019010.1	104121	No terminal repeats	109	11	0.9913	NA	25	62.2949	MOBF;t4cp2;F_traG;F_traH;F_traF;F_traN;F_traU;F_traW;virb4;F_traV;F_traB;F_traK;F_traE;F_traL	NA
AP019192.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP019394.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP019395.1	ENA|AP019395|AP019395.1	196595	No terminal repeats	191	11	0.9904	NA	3	51.2349	MOBP2;MOBP2	NA
AP019396.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP019548.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP019714.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP019715.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP019856.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP019857.1	ENA|AP019857|AP019857.1	102846	No terminal repeats	115	11	0.9917	NA	2	29.0599	NA	NA
AP019859.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP020310.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP020322.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP020323.1	ENA|AP020323|AP020323.1	20547	No terminal repeats	24	11	0.9941	NA	1	15.1017	NA	NF012167;NF040806;NF000025
AP021873.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP021929.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP021930.1	ENA|AP021930|AP021930.1	140912	No terminal repeats	156	11	0.9950	NA	26	111.0085	MOBF;F_traG;F_traH;F_traF;F_traN;F_trbC;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NF000402
AP021931.1	ENA|AP021931|AP021931.1	130287	No terminal repeats	140	11	0.9939	NA	5	62.6487	NA	NF012171;NF012174
AP021932.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP022077.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP022326.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP022327.1	ENA|AP022327|AP022327.1	139450	No terminal repeats	161	11	0.9948	NA	24	90.4131	F_traE;F_traE;MOBF;F_traG;F_traG;F_traH;F_traK;F_traE;F_traL	NF012178;NF012171;NF012174
AP022328.1	ENA|AP022328|AP022328.1	67915	No terminal repeats	81	11	0.9954	NA	28	72.5611	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;MOBF	NA
AP022329.1	ENA|AP022329|AP022329.1	5167	No terminal repeats	5	11	0.9950	NA	1	3.7523	MOBQ	NA
AP022330.1	ENA|AP022330|AP022330.1	4060	No terminal repeats	3	11	0.9932	NA	1	1.7183	NA	NA
AP022331.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP022341.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP022342.1	ENA|AP022342|AP022342.1	253148	No terminal repeats	292	11	0.9890	NA	3	63.8088	MOBP2	NA
AP022343.1	ENA|AP022343|AP022343.1	108102	No terminal repeats	128	11	0.9889	NA	2	11.8036	NA	NF033115
AP022344.1	ENA|AP022344|AP022344.1	6258	No terminal repeats	10	11	0.9948	NA	1	8.0310	NA	NA
AP022510.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP022511.1	ENA|AP022511|AP022511.1	292755	No terminal repeats	319	11	0.9940	NA	17	196.4419	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF000153
AP022512.1	ENA|AP022512|AP022512.1	2511	No terminal repeats	5	11	0.9944	NA	1	3.1262	NA	NA
AP022846.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP022867.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP023067.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP023068.1	ENA|AP023068|AP023068.1	4207	No terminal repeats	9	11	0.9956	NA	3	9.8962	MOBP1	NA
AP023069.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP023070.1	ENA|AP023070|AP023070.1	4153	No terminal repeats	9	11	0.9956	NA	3	9.8962	MOBP1	NA
AP023071.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP023072.1	ENA|AP023072|AP023072.1	4207	No terminal repeats	10	11	0.9953	NA	3	9.8962	MOBP1	NA
AP023075.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP023076.1	ENA|AP023076|AP023076.1	4153	No terminal repeats	9	11	0.9956	NA	3	9.8962	MOBP1	NA
AP023292.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP023293.1	ENA|AP023293|AP023293.1	7618	No terminal repeats	9	11	0.9887	NA	2	5.0335	NA	NF033135
AP023309.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP023310.1	ENA|AP023310|AP023310.1	229829	No terminal repeats	255	11	0.9946	NA	21	186.3060	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF012171;NF012174
AP023387.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024155.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024156.1	ENA|AP024156|AP024156.1	4153	No terminal repeats	10	11	0.9950	NA	3	9.4335	MOBP1	NA
AP024313.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024314.1	ENA|AP024314|AP024314.1	3785	No terminal repeats	4	11	0.9937	NA	1	3.4296	NA	NA
AP024318.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024319.1	ENA|AP024319|AP024319.1	20722	No terminal repeats	23	11	0.9943	NA	2	10.8004	MOBV	NF040806;NF012167
AP024414.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024511.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024512.1	ENA|AP024512|AP024512.1	20501	No terminal repeats	25	11	0.9939	NA	1	15.1017	NA	NF012167;NF040806;NF000025
AP024518.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024519.1	ENA|AP024519|AP024519.1	100617	No terminal repeats	111	11	0.9954	NA	28	88.0292	MOBF;F_traG;F_traH;F_traF;F_traN;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NF033144;NF012174;NF012178
AP024520.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024553.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024554.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024555.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024621.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024628.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024730.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024731.1	ENA|AP024731|AP024731.1	21326	No terminal repeats	25	11	0.9940	NA	2	10.9722	MOBV	NF040806;NF012167
AP024831.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024832.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024833.1	ENA|AP024833|AP024833.1	71966	No terminal repeats	85	11	0.9936	NA	2	33.8927	MOBP2	NA
AP024834.1	ENA|AP024834|AP024834.1	9507	No terminal repeats	13	11	0.9925	NA	1	6.3127	NA	NA
AP024835.1	ENA|AP024835|AP024835.1	6302	No terminal repeats	10	11	0.9948	NA	1	9.7493	NA	NA
AP024836.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024837.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024838.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024839.1	ENA|AP024839|AP024839.1	71967	No terminal repeats	85	11	0.9934	NA	2	33.8927	MOBP2	NA
AP024840.1	ENA|AP024840|AP024840.1	9507	No terminal repeats	13	11	0.9925	NA	1	6.3127	NA	NA
AP024841.1	ENA|AP024841|AP024841.1	6303	No terminal repeats	9	11	0.9950	NA	1	8.0310	NA	NA
AP024842.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024843.1	ENA|AP024843|AP024843.1	4373	No terminal repeats	7	11	0.9954	NA	2	6.6500	NA	NA
AP024847.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024848.1	ENA|AP024848|AP024848.1	23921	No terminal repeats	27	11	0.9929	NA	1	2.6514	NA	NA
AP024963.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP024965.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025682.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025764.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025765.1	ENA|AP025765|AP025765.1	369315	No terminal repeats	409	11	0.9939	NA	18	219.8125	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF012147;NF000125
AP025766.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025777.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025778.1	ENA|AP025778|AP025778.1	369681	No terminal repeats	412	11	0.9938	NA	18	220.6487	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF012147;NF000125
AP025779.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025784.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025785.1	ENA|AP025785|AP025785.1	369656	No terminal repeats	410	11	0.9938	NA	18	219.6693	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF012147;NF000125
AP025786.1	ENA|AP025786|AP025786.1	2496	No terminal repeats	3	11	0.9952	NA	1	3.1262	NA	NA
AP025792.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025793.1	ENA|AP025793|AP025793.1	368905	No terminal repeats	410	11	0.9937	NA	18	219.1321	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF012147;NF000125
AP025794.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025799.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025800.1	ENA|AP025800|AP025800.1	368921	No terminal repeats	410	11	0.9937	NA	18	219.1321	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF012147;NF000125
AP025801.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025802.1	ENA|AP025802|AP025802.1	371011	No terminal repeats	411	11	0.9939	NA	18	219.6693	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF012147;NF000125
AP025803.1	ENA|AP025803|AP025803.1	2496	No terminal repeats	3	11	0.9953	NA	1	3.1262	NA	NA
AP025807.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025808.1	ENA|AP025808|AP025808.1	371011	No terminal repeats	411	11	0.9939	NA	18	219.6693	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF012147;NF000125
AP025809.1	ENA|AP025809|AP025809.1	2496	No terminal repeats	3	11	0.9953	NA	1	3.1262	NA	NA
AP025815.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025816.1	ENA|AP025816|AP025816.1	371011	No terminal repeats	411	11	0.9939	NA	18	219.6693	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF012147;NF000125
AP025817.1	ENA|AP025817|AP025817.1	2496	No terminal repeats	4	11	0.9955	NA	1	4.8445	NA	NA
AP025830.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025831.1	ENA|AP025831|AP025831.1	371458	No terminal repeats	413	11	0.9939	NA	18	219.1321	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF012147;NF000125
AP025832.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025855.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025856.1	ENA|AP025856|AP025856.1	356500	No terminal repeats	403	11	0.9937	NA	16	213.8006	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH	NF012147;NF000125
AP025858.1	ENA|AP025858|AP025858.1	2511	No terminal repeats	4	11	0.9947	NA	1	3.1262	NA	NA
AP025863.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025864.1	ENA|AP025864|AP025864.1	357953	No terminal repeats	405	11	0.9938	NA	16	214.5333	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH	NF012147;NF000125
AP025865.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025866.1	ENA|AP025866|AP025866.1	2511	No terminal repeats	6	11	0.9945	NA	1	4.8445	NA	NA
AP025871.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025872.1	ENA|AP025872|AP025872.1	360179	No terminal repeats	399	11	0.9940	NA	18	211.8198	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;MOBH;t4cp1	NF012147;NF000125
AP025873.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025874.1	ENA|AP025874|AP025874.1	2511	No terminal repeats	5	11	0.9944	NA	1	3.1262	NA	NA
AP025875.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025876.1	ENA|AP025876|AP025876.1	377359	No terminal repeats	422	11	0.9939	NA	19	223.4559	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;MOBH;t4cp1	NF012147;NF000125
AP025877.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025878.1	ENA|AP025878|AP025878.1	2511	No terminal repeats	5	11	0.9943	NA	1	3.1262	NA	NA
AP025879.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025880.1	ENA|AP025880|AP025880.1	376245	No terminal repeats	420	11	0.9939	NA	19	221.9905	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;MOBH;t4cp1	NF012147;NF000125
AP025881.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025882.1	ENA|AP025882|AP025882.1	2511	No terminal repeats	5	11	0.9942	NA	1	3.1262	NA	NA
AP025895.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025896.1	ENA|AP025896|AP025896.1	370561	No terminal repeats	413	11	0.9939	NA	19	224.6439	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;MOBH;t4cp1	NF012147;NF000125
AP025897.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025898.1	ENA|AP025898|AP025898.1	2511	No terminal repeats	4	11	0.9948	NA	1	3.1262	NA	NA
AP025903.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025904.1	ENA|AP025904|AP025904.1	367582	No terminal repeats	412	11	0.9941	NA	19	220.0779	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;MOBH;t4cp1	NF012147;NF000125
AP025905.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025906.1	ENA|AP025906|AP025906.1	2511	No terminal repeats	5	11	0.9944	NA	1	3.1262	NA	NA
AP025919.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025920.1	ENA|AP025920|AP025920.1	372129	No terminal repeats	423	11	0.9941	NA	18	221.3151	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF012147;NF000125
AP025921.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025922.1	ENA|AP025922|AP025922.1	2511	No terminal repeats	5	11	0.9943	NA	1	3.1262	NA	NA
AP025936.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025937.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025938.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP025940.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP026106.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP026107.1	ENA|AP026107|AP026107.1	83529	No terminal repeats	91	11	0.9947	NA	9	51.1255	T_virB11;MOBP1;MOBP1	NA
AP026114.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP026115.1	ENA|AP026115|AP026115.1	94167	No terminal repeats	93	11	0.9946	NA	8	49.6888	T_virB11;MOBP1	NA
AP026116.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP026117.1	ENA|AP026117|AP026117.1	93804	No terminal repeats	92	11	0.9945	NA	8	49.6888	T_virB11;MOBP1	NA
AP026601.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP026602.1	ENA|AP026602|AP026602.1	88683	No terminal repeats	110	11	0.9855	NA	2	9.5543	NA	NA
AP026603.1	ENA|AP026603|AP026603.1	31114	No terminal repeats	44	11	0.9924	NA	1	9.7566	NA	NF033068
AP026655.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP026656.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP026657.1	ENA|AP026657|AP026657.1	76985	No terminal repeats	97	11	0.9828	NA	2	5.4257	NA	NA
AP026658.1	ENA|AP026658|AP026658.1	42042	No terminal repeats	48	11	0.9939	NA	1	25.3799	NA	NA
AP026659.1	ENA|AP026659|AP026659.1	19291	No terminal repeats	28	11	0.9938	NA	2	8.7475	NA	NA
AP026660.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP026661.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP026662.1	ENA|AP026662|AP026662.1	76985	No terminal repeats	97	11	0.9828	NA	2	5.4257	NA	NA
AP026664.1	ENA|AP026664|AP026664.1	9527	No terminal repeats	14	11	0.9932	NA	1	6.3127	NA	NA
AP026665.1	ENA|AP026665|AP026665.1	9009	No terminal repeats	13	11	0.9889	NA	1	1.8991	NA	NA
AP026666.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP026667.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP026668.1	ENA|AP026668|AP026668.1	76985	No terminal repeats	97	11	0.9828	NA	2	5.4257	NA	NA
AP026669.1	ENA|AP026669|AP026669.1	41193	No terminal repeats	50	11	0.9942	NA	1	25.9155	NA	NA
AP026670.1	ENA|AP026670|AP026670.1	9013	No terminal repeats	13	11	0.9916	NA	1	1.8991	NA	NA
