resolved_accession	length
CP096756.1	71044
CP106990.1	10967
CP196000.1	8129
CP191639.1	10566
CP087596.1	5870
CP175805.1	11216
CP043453.1	111162
CP026749.2	42455
CP043471.1	32363
CP096726.1	110965
CP020590.1	3866657
CP091360.1	3638126
CP134573.1	77529
CP096725.1	77534
CP059729.1	4068815
CP178419.1	12709
CP043953.1	3972439
CP076805.1	105056
CP076812.1	4205863
CP096702.1	4084141
CP121585.1	2052
CP188270.1	12709
CP027179.1	39535
CP040080.1	3766238
CP058731.1	7730
CP143352.1	2025
CP003847.1	4001621
CP043457.1	10879
CP199308.1	4057641
CP157253.1	76059
CP117765.1	72322
CP131951.1	107426
CP087334.1	7296
CP107606.1	67019
CP175837.1	100041
CP150097.1	3859912
CP041590.1	145071
CP115643.1	4048321
CP077845.1	11194
CP151709.1	4060980
CP194660.1	3861
CP072273.1	7540
CP169773.1	3953664
CP023021.1	9024
CP098792.1	141629
CP072270.1	4091200
CP091597.1	11378
CP190387.1	3968920
CP137140.1	3946903
CP103339.1	85026
CP012952.1	4063596
CP051879.1	2697
CP175848.1	74012
CP098800.1	257
CP195701.1	102511
CP144242.1	3893302
CP110464.1	12952
CP027187.1	6078
CP145432.1	1196
CP022283.1	4159217
CP175868.1	2763
CP157345.1	107426
CP104336.1	328511
CP032743.1	3949489
CP134541.1	131816
CP131894.1	110967
CP169829.1	74214
CP098799.1	5452
CP179694.1	4103143
CP017152.1	4178958
CP169859.1	3893825
CP065052.1	72156
JBSOQU000000000.1	28684
JBSOQU000000000.1	7449
JBSOQU000000000.1	88517
JBSOQU000000000.1	4030
JBSOQU000000000.1	66130
JBSOQU000000000.1	51372
JBSOQU000000000.1	35604
JBSOQU000000000.1	2056
JBSOQU000000000.1	26469
JBSOQU000000000.1	51120
JBSOQU000000000.1	68523
JBSOQU000000000.1	50820
JBSOQU000000000.1	95581
CP071764.1	2277
CP051477.1	3432
CP156935.1	78179
CP156044.1	4089266
CP179707.1	3997136
CP027185.1	105128
CP199972.1	3880498
CP110466.1	80243
CP191587.1	5281
CP040262.1	5464
CP027186.1	38505
CP033871.1	14807
CP106988.1	4000035
CP194651.1	3735903
CP175851.1	4147
CP169791.1	3898494
CP161989.1	3777571
CP107609.1	19667
CP169817.1	6078
CP066233.1	73360
CP008851.1	74749
CP060994.1	3778436
CP076813.1	9197
CP003887.1	70170
CP121587.1	8742
CP050916.1	4015142
CP050910.1	8731
CP087306.1	8731
CP031444.1	3935403
CP169865.1	10083
CP076801.1	3851439
CP001172.2	3759495
CP139831.1	3860344
CP121373.1	19102
CP195997.1	188801
CP094284.1	110967
CP137073.1	3997375
CP175844.1	11194
CP187582.1	2277
CP191635.1	5281
CP133714.1	90078
CP050525.1	1764
CP027244.1	8731
LN868200.1	3819158
CP199978.1	17462
CP169837.1	15844
CP175883.1	151475
CP169777.1	179192
CP096751.1	77530
CP016301.1	110967
JBSOQT000000000.1	75272
JBSOQT000000000.1	3626
JBSOQT000000000.1	20617
JBSOQT000000000.1	34314
JBSOQT000000000.1	24964
JBSOQT000000000.1	22982
JBSOQT000000000.1	16418
JBSOQT000000000.1	10043
JBSOQT000000000.1	1478
JBSOQT000000000.1	118024
JBSOQT000000000.1	204235
CP137075.1	3849243
CP026748.1	5602
CP102580.1	3979237
CP087332.1	148957
CP113446.1	8916
CP043459.1	287961
CP099857.1	4056249
CP162300.1	3833964
CP107589.1	11625
CP137076.1	69524
CP050430.1	2762
CP050414.1	8732
CP107614.1	3901216
CP091454.1	82120
CP154375.1	2343
CP151714.1	145508
CP121595.1	3962360
CP104351.1	4092451
CP059387.1	113330
CP096737.1	110968
CP026126.1	11305
JBRUXD000000000.1	31783
JBRUXD000000000.1	15991
JBRUXD000000000.1	42363
JBRUXD000000000.1	303982
JBRUXD000000000.1	12891
JBRUXD000000000.1	20166
JBRUXD000000000.1	51819
JBRUXD000000000.1	19553
JBRUXD000000000.1	49406
JBRUXD000000000.1	61673
JBRUXD000000000.1	61792
CP191622.1	5281
CP015364.1	3998012
CP188288.1	12863
CP161987.1	114495
CP188771.1	202493
CP175832.1	3840806
CP074711.1	38118
CP048827.1	3861977
CP131904.1	110967
CP084733.1	3989953
CP059302.1	5210
CP059543.1	117806
CP031381.2	24268
CP091359.1	3918856
CP159626.1	4001355
CP191588.1	16095
CP087312.1	3860314
CP061526.1	14639
CP096729.1	4021197
CP087336.1	115180
CP131950.1	3924187
CP096752.1	110967
CP132215.1	71234
CP134567.1	47274
CP040425.1	4014051
AP031578.1	4004317
CP074708.1	26481
CP188284.1	4554
CP059042.1	16502
CP188278.1	3953265
CP175835.1	4262730
CP191637.1	16095
CP044519.1	4054239
CP091340.1	3874353
CP039518.1	3891074
CP023033.1	80546
CP027532.1	41087
CP151705.1	3974547
CP134544.1	3981017
CP115630.1	71233
CP010781.1	3909008
CP179703.1	8731
CP178423.1	2309
CP151693.1	127468
CP149831.1	3983649
CP169855.1	106968
CP084732.1	69524
CP132918.1	11779
CP050398.1	607
CP050917.1	71194
CP191594.1	4077713
CP096759.1	4055260
CP038648.1	9205
CP149839.1	19636
CP049364.1	21761
CP076810.1	8229
CP043954.1	7791
CP199965.1	6361
CP026340.1	5281
CU459141.1	3936291
CP161992.1	4027481
CP034094.1	27452
CP115644.1	107426
CP072125.1	7540
CP160034.1	8251
CP062923.1	5242
CP195706.1	22406
CP129249.1	2114
CP074707.1	20351
CP139835.1	34880
CP042562.1	5039
CP091335.1	3901878
CP072527.1	113682
CP091343.1	3930310
CP179882.1	13932
CP054417.1	11194
CP169841.1	15323
CP087321.1	3980536
CP009256.1	3803317
CP050434.1	10967
CP046546.1	3981894
CP194653.1	11123
CM125920.1	3853766
CP039933.1	10255
CP066234.1	19616
CP190359.1	4039992
CP096745.1	4028024
CP175867.1	5679
CP154372.1	4111123
CP185767.1	3887522
CP191640.1	16095
LN865144.1	7742
CP061522.1	110964
CP107582.1	19667
CP107594.1	110194
CP194387.1	3984654
CP091353.1	3963068
CP050402.1	8731
CP169805.1	3936621
CP190361.1	72283
CP137068.1	88892
CP131901.1	4097773
CP133052.1	3844255
CP061521.1	3938042
CP096711.1	110967
CP132919.1	11086
CP094283.1	4036993
CP136182.1	3831295
CP031382.1	70101
CP027528.1	4149444
CP096762.1	3930603
CP047974.1	103751
CP104341.1	50022
CP096740.1	3952043
CP044520.1	66277
CP199975.1	18410
CP195992.1	95493
CP038261.1	18786
CP096741.1	11196
CP121626.1	109264
CP155460.1	78115
CP121628.1	17459
CP134598.1	110965
CP121557.1	3855410
CP191660.1	29650
CP048135.1	208004
CP184603.1	3932137
CP107605.1	4064267
CP021327.1	112155
CP072284.1	5679
CP159624.1	4001363
CP046655.1	9540
CP188274.1	2742
CP087311.1	83611
CP059542.1	3970467
CP169767.1	24312
CP169852.1	3934340
CP050390.1	3919631
CP034097.1	8493
CP091366.1	3974863
CP035183.1	3940649
CP175841.1	3837188
CP171395.1	78284
CP096764.1	4053803
CM129936.1	3920785
CP178409.1	2924
CP096716.1	77530
CP151710.1	145522
AP024805.1	10831
CP042559.1	8795
CP042560.1	7703
CP102581.1	110967
CP056784.2	3864540
CP184593.1	3932120
CP175645.1	108159
CP039519.1	127784
CP023025.1	113420
CP077848.1	8731
CP191650.1	13924
CP188282.1	72256
CP061517.1	4040626
CP157252.1	3933474
CP136168.1	3824214
CP136178.1	3962234
CP087298.1	3942126
CP096687.1	110968
CM129970.1	4046148
CP114382.1	8731
JBQOVQ000000000.1	82423
JBQOVQ000000000.1	774
JBQOVQ000000000.1	9635
JBQOVQ000000000.1	57955
JBQOVQ000000000.1	184519
JBQOVQ000000000.1	73688
JBQOVQ000000000.1	56137
JBQOVQ000000000.1	39470
CP171791.1	3923099
CU459139.1	2726
CP188271.1	4554
CP185772.1	3726016
CP121633.1	17462
CM121372.1	120801
CP191598.1	16095
CP175647.1	29278
JBQOVN000000000.1	67469
JBQOVN000000000.1	34218
JBQOVN000000000.1	21915
JBQOVN000000000.1	24264
JBQOVN000000000.1	26325
JBQOVN000000000.1	98018
JBQOVN000000000.1	10366
JBQOVN000000000.1	102277
JBQOVN000000000.1	9993
JBQOVN000000000.1	46850
JBQOVN000000000.1	25229
JBQOVN000000000.1	94193
JBQOVN000000000.1	52031
JBQOVN000000000.1	62696
JBQOVN000000000.1	200618
JBQOVN000000000.1	2495
JBQOVN000000000.1	4932
JBQOVN000000000.1	50233
CP087299.1	83611
CP179692.1	4019995
CP175653.1	3884974
CP059039.1	3750370
CP121564.1	70111
CP184614.1	78031
CP188289.1	4554
CP079932.1	148955
CP030106.1	3947407
CP071765.1	8731
CP050918.1	8731
CP035050.1	11810
CP051876.1	48239
CP051878.1	8215
CP053099.1	13409
CP169809.1	4011405
CP107610.1	3965229
CP191628.1	2726
CP012587.1	3719282
CP059390.1	4721
CP196986.1	70542
CP155461.1	14639
CP076737.1	8970
CP133719.1	7818
CP100307.1	8731
CP096743.1	110967
CP059303.1	12651
CP053033.1	72257
CP131953.1	2024
CP199967.1	18235
CP155721.1	4056338
CP151078.1	3899864
CP038260.1	25856
CP060996.1	13325
CP041589.1	10967
CP115639.1	3939250
CP084734.1	8731
CP169874.1	18491
CP151715.1	4063898
CP096753.1	4066669
CP175872.1	10094
CP014217.1	5465
CP069840.1	3978309
CP191627.1	4162860
CP027608.1	106967
CP049363.1	3854994
CP096709.1	110967
CP104908.1	3907867
CP003967.2	3704284
CP166166.1	2025
CP096700.1	4065025
CP157254.1	17462
CP096769.1	77533
CP166771.1	111993
CP035051.1	3929411
CP143346.1	3927218
CP050418.1	18783
CP085789.1	11164
CP169866.1	3728679
CP104338.1	1296
CP035046.1	106963
CP107590.1	4062852
CP110468.1	141033
CP087350.1	8732
CP175656.1	3970770
CP155457.1	75286
CP096703.1	70287
CP169853.1	19338
CP195991.1	3856300
CP169785.1	3837133
CP155479.1	14639
CP179873.1	13776
CP139834.1	1423
CP072402.1	5679
CP021783.1	2726
CP142894.1	90968
CP096739.1	73209
CP195684.1	67685
CP144253.1	112526
CP000865.1	64366
CP188290.1	2924
AP024813.1	2278
CP134584.1	205113
CP026708.1	8731
CM125924.1	3853766
CP136181.1	3841318
CP179696.1	4026719
CP151703.1	132823
CP039341.1	4049647
CP175643.1	70100
CP038264.1	76956
CP026707.1	3993843
CP038647.1	9909
CP140421.1	72105
CP191607.1	16095
CP015121.1	3980886
CP175878.1	3924137
CP050904.1	3998421
CP175877.1	89495
CP179693.1	8731
CP027530.1	4040515
CP179704.1	2278
CP161995.1	3752758
CP199979.1	3986010
CP060732.1	4103762
CP050915.1	92021
CP194654.1	9656
CP194389.1	3975818
CP077833.1	84262
CP077840.1	4078332
CP179710.1	8731
CP137071.1	3942549
CP050407.1	5679
CP155455.1	4056388
CP023029.1	3971623
CP102831.1	3973623
CP117760.1	9862
AP024812.1	2444
CP096763.1	72248
CP028139.1	133709
CP175858.1	45789
CP155638.1	84259
CP087307.1	2359
CP070365.1	83362
CP067103.1	10955
CP086759.1	3935674
CP175881.1	4288
CP096682.1	4069136
CP107613.1	19667
CP121371.1	101824
CP175864.1	228269
CP157251.1	17462
CP175860.1	9618
CP128372.1	3806806
CP175646.1	4014688
CP114384.1	1887
CP184613.1	3932159
CP134574.1	3964354
CP199976.1	6078
CP020582.1	90972
CP066229.1	3991754
CP104785.1	8740
CP134596.1	4048509
CP042931.1	4030371
CP169818.1	113549
CP113076.1	11302
CM125922.1	3853760
CP151697.1	3692337
CP171794.1	7244
CP023035.1	9935
CP027178.1	4093545
CP023027.1	10062
CP149835.1	2025
CP169863.1	101309
CP104344.1	9935
AP024808.1	5049
CP072294.1	5679
CP121563.1	3977707
CP087313.1	223334
CP050905.1	110967
CP196469.1	184089
CP059547.1	3810320
CP134549.1	3870104
CP048133.1	8731
CP199982.1	70098
CP072122.1	4038785
CP019218.1	64554
CP016302.1	73188
CP017645.1	81227
CP114381.1	3990368
CP191629.1	5221
CP151696.1	3877559
CP087331.1	3964603
CP091346.1	4068658
CP178416.1	2742
CP194658.1	10295
CP072304.1	5679
CP087343.1	5460
CP136177.1	6010
CP169779.1	3978798
CP018421.1	4011552
CP161986.1	3778202
CP159527.1	4001338
CP199968.1	4182
CP157259.1	2024
CP096761.1	11194
CP191245.1	78326
CP050429.1	7540
CP107580.1	19667
CP139838.1	117330
CP134592.1	77294
CP113445.1	11964
CP035053.1	10967
CP179870.1	10848
CP184612.1	78027
CP066230.1	73339
CP096705.1	4060809
CP091347.1	3913930
CP115641.1	3921098
CP084724.1	3991008
CP142393.1	4038658
CP053098.1	4005343
CP098798.1	10043
CP043455.1	3943529
CP107604.1	19662
CP142892.1	3820822
CP195698.1	3971410
CP174093.1	11194
CP046900.1	19147
CP156933.1	4055299
CP027529.1	8731
CP112859.1	3822753
CP021782.1	4039997
CP042564.1	3065
CP077838.1	72258
CP087323.1	15932
CP115625.1	18774
CP051873.1	6619
CP155723.1	75286
CP009534.1	3875775
CP169834.1	79190
CP104334.1	4650
CP134566.1	3723049
CP050417.1	52509
CP088896.1	12709
CP004359.1	110967
CP134597.1	3943518
CP191602.1	16095
CP059040.1	3980852
AP023079.1	41087
CP061515.1	110967
CP109837.1	72256
CP179884.1	6359
CP049314.1	3935232
CP076739.1	3972003
CP023028.1	110728
CP077802.1	145711
CP034092.1	3864628
AP013357.1	4021920
CP039995.1	5602
CP169788.1	3917480
CP140434.1	3996282
CP191658.1	3892596
CP096684.1	4025136
CP070361.1	87892
CP134557.1	82126
CP058730.1	110272
CP117728.1	3891020
CP144240.1	4144235
CP184591.1	3932133
CP087338.1	32159
CP191381.1	6078
CP136185.1	6479
CP169808.1	87569
CP116387.1	3951602
CP047973.1	3892871
CP087319.1	36555
CP050428.1	7695
CP139830.1	2421
CP163039.1	3960744
CP091598.1	117234
CP033111.1	148955
CP144248.1	72253
CP027124.1	8731
CP034095.1	8420
CP137141.1	8731
CP179698.1	2278
CP190370.1	3934710
CP038651.1	5844
CP053217.1	3968
CP096770.1	110966
CP091329.1	22388
CP046898.1	3929775
CP169778.1	7563
CP043464.1	10879
CP188293.1	11109
JBQGLO000000000.1	34960
JBQGLO000000000.1	75400
JBQGLO000000000.1	2906
JBQGLO000000000.1	10835
JBQGLO000000000.1	22984
JBQGLO000000000.1	218159
JBQGLO000000000.1	95544
JBQGLO000000000.1	89987
JBQGLO000000000.1	90203
CP169774.1	113681
CP142102.1	3958574
CP134568.1	12471
CP113069.1	3836532
CP169811.1	3716662
CP184583.1	3932135
CP142019.1	3892683
CP121374.1	38300
CP046553.1	30517
CP140435.1	73301
CP100305.1	3990428
CP121630.1	8731
CP008708.1	8731
CP051867.1	81353
CP123858.1	12158
CP196885.1	3921342
CP092030.1	15266
CP156043.1	17641
CP008706.1	3972672
CP059474.1	3792708
CP156042.1	74071
CP130627.2	4020125
CP030084.1	8732
CP087330.1	6806
CP045528.1	4092125
CP115637.1	3921041
CP075321.1	3973595
CP140437.1	14639
CP039994.1	71233
CP087356.1	11084
CP194656.1	3735903
CP096693.1	3940345
CP133706.1	3964944
CP046551.1	10864
CP195693.1	4001606
CP134564.1	3903648
CP050396.1	1359
CP091341.1	4008883
CP016296.1	110968
CP131895.1	90163
CP115627.1	71598
CP001937.2	4022275
CP121346.1	4595
CP131945.1	8731
CP134588.1	77212
CP059546.1	3816508
CP184585.1	3932148
CP178250.1	3786531
CP023020.1	4119128
CP103343.1	2368
CP077830.1	4202756
CP151711.1	4029029
CP088899.1	2742
CP131893.1	4102098
CP072303.1	7540
CP136172.1	3945407
CP188275.1	3978214
CP134560.1	4004927
CP046549.1	4029161
CP169804.1	17004
CP018254.1	4250048
CP191590.1	4120823
CP010782.1	8731
CP169843.1	106528
CP072272.1	68224
CP179872.1	4028264
CP042841.1	3963235
CP079744.1	11600
CP117763.1	66484
CP121567.1	3944323
CP076821.1	4132446
CP134550.1	4058765
CP079743.1	3894096
CP020578.1	3982722
CP082953.1	9205
CP096710.1	4025902
CP050410.1	3926441
CP025266.1	3983848
CP091338.1	3996446
CP077839.1	8731
CP003908.1	20139
CP121632.1	3958052
CP143348.1	4040533
CP117764.1	3805957
CP184600.1	167788
CP042556.1	3806017
CP191247.1	7540
CP027184.1	60699
AP023077.1	3992063
CP042563.1	4715
CP136176.1	7813
CP191659.1	37122
CP169872.1	4030440
CP059545.1	7369
CP179869.1	4003826
CP121379.1	40316
CP134563.1	77531
CP021322.1	64557
CU459138.1	9661
CP099858.1	4029089
CP130923.1	8731
CP134570.1	4150697
CP137065.1	17462
CP134552.1	3942255
CP096768.1	4059985
CP096732.1	110967
CP072286.1	218105
CP077841.1	70789
CP029570.1	108151
CP050421.1	4000714
CP178408.1	4554
CP196962.1	11302
CP022284.1	12381
CP142895.1	3994026
CP104295.1	3999538
CP151698.1	131775
CP143350.1	73301
CP131944.1	3926622
CP151716.1	145508
CP169821.1	7815
CP026712.1	72990
CP016298.1	3965390
CP026750.2	3893621
CP087340.1	3810521
CP103344.1	2278
CP016295.1	3970947
CP096760.1	110967
CP072299.1	5679
CP050527.1	8731
CP169850.1	81072
AP031579.1	3984996
CP087314.1	70100
CP103338.1	3686394
CP066232.1	3995262
CP039344.1	55268
CP130922.1	73006
CP080456.1	8731
CP030083.1	3911735
CP178422.1	2742
CP123859.1	15166
CP076744.1	112151
CP091348.1	3964332
CP021321.1	3914578
CP159517.1	4001355
CP113079.1	83610
CP199576.1	16095
CP156041.1	3969673
CP169819.1	3712652
CP151713.1	4062013
AP024804.1	12817
CP059548.1	3776716
CP035049.1	3873900
CP076814.1	3910207
CP096728.1	110968
CP115624.1	71598
CP076738.1	112124
CP017657.1	101406
CP131897.1	19261
CP096691.1	71277
CP159521.1	4001326
CP087325.1	3772535
CP072399.1	218105
CP077829.1	5602
CP144243.1	12707
CP096690.1	4099544
CM125925.1	3853614
CP096820.1	11805
CP061518.1	110965
CP051870.1	48239
CP121569.1	17436
CP129246.1	166254
CP134548.1	3908238
CP079933.1	13409
CP038501.1	78125
CP134555.1	3717899
AP014649.1	4000970
CP017647.1	73891
CP027121.1	72105
CP107577.1	3955717
CP062922.1	14288
CP171399.1	114671
CP104343.1	335718
CP133712.1	3816144
CP121375.1	3718767
CP169814.1	4554
CP033245.1	80548
CP074585.1	3980901
CP104751.1	3937114
AP025534.1	8731
CP087348.1	3923642
CP147666.1	72257
CP020589.1	72076
CP083181.1	3854806
CP134545.1	110967
CP087317.1	4058693
CP191630.1	10563
CP072279.1	5679
CP096727.1	4080083
CP059300.1	4364474
CP072123.1	218105
CP132917.1	50328
CP151720.1	145509
CP191600.1	2726
CP059304.1	9950
CP134540.1	3933711
CP076820.1	9543
CP191668.1	3864213
CP184597.1	3932120
CP096689.1	73209
CP087300.1	3759599
CP012004.1	3857743
CP096713.1	33550
CP156934.1	107426
CP029572.1	8771
CP007535.2	3851648
CP072305.1	3841218
CP133713.1	261943
CP155480.1	2025
CP145436.1	2023
CP096895.1	112202
CP169856.1	73861
CM132594.1	4012192
CP121596.1	70544
CP160134.1	11294
CP076736.1	3972035
CP139206.1	5821
CP073060.1	3877093
CP058729.1	3812291
CP143344.1	4009122
CP096749.1	3887234
CP061523.1	3984712
CP169844.1	72105
CP030108.1	2359
CP076803.1	11203
CP115628.1	8731
CP046552.1	3956311
CP087354.1	4090243
CP012953.1	4754
CP195704.1	69164
CP080454.1	2725
CP000864.1	28279
CP107579.1	3961836
CP096685.1	110973
CP043462.1	3972920
CP091365.1	3996138
CP169873.1	48140
CP038265.1	43093
CP027246.2	3990012
CP171793.1	70426
CP175831.1	5679
CP175836.1	228267
CP121376.1	101824
CP144251.1	8731
CP070360.1	8731
CP076819.1	13776
CP031384.1	106974
CP026761.1	3871930
CP188283.1	12709
CP169848.1	3847518
CP169794.1	7812
CP020596.1	195838
CP084721.1	3991015
CP091342.1	4012438
CP060029.1	4088883
CP051874.1	2697
CP076816.1	17469
CP088895.1	3862196
CP084725.1	8731
CP154374.1	8731
CP175644.1	8731
CP012955.1	9276
CP115646.1	104651
CP010398.1	114848
CP076808.1	65432
CP033108.1	3902031
CP179706.1	8731
CP195993.1	11853
CP139837.1	76943
CP020586.1	3996455
CP091595.1	73145
CP107588.1	67019
CP116389.1	8731
CP080452.1	4033258
CM128551.1	4038226
AP025740.1	3891816
CP188292.1	19054
CP070359.1	1967
CP169869.1	3862503
CP123992.1	154924
CP169802.1	22106
CP161997.1	12185
CP034093.1	110713
CP084299.1	6942
CP039931.1	84785
CP034096.1	3610
CP033768.1	3781536
CP134601.1	3810711
CP003856.1	3957368
CP134582.1	72058
CP007712.1	3954354
CP199981.1	3947722
CP027182.1	105127
CP171397.1	114671
CP157482.1	8731
CP010397.1	3902527
CP061520.1	110967
CP050911.1	4067565
CP134593.1	110603
CP184605.1	3932108
CP038649.1	7396
CP121579.1	3997089
AP031585.1	4156272
CP041588.1	6078
CP191597.1	10557
CP020573.1	74241
CP139828.1	3371
CP169840.1	65745
CP123993.1	3773314
AP024811.1	3496
CP087335.1	4039002
CP151699.1	4013624
CP096750.1	11194
CP046901.1	7852
CP072302.1	68309
CP043419.1	3935331
CP191669.1	3680684
CP061525.1	4031161
CP134554.1	78938
CP175873.1	6078
CP018664.1	4004792
